"veh_value","exposure","clm","numclaims","claimcst0","veh_body","veh_age","gender","area","agecat","X_OBSTAT_"
"29","1","0.2874743326",0,0,"0","STNWG",4,"M","C",3,"01101    0    0    0"
"30","1.51","0.0684462697",0,0,"0","HBACK",2,"F","C",2,"01101    0    0    0"
"31","4.45","0.5941136208",0,0,"0","STNWG",1,"F","C",3,"01101    0    0    0"
"32","2.17","0.5366187543",0,0,"0","SEDAN",2,"F","A",4,"01101    0    0    0"
"33","0.87","0.8542094456",0,0,"0","HBACK",3,"M","D",3,"01101    0    0    0"
"34","4.09","0.848733744",0,0,"0","UTE",1,"M","A",2,"01101    0    0    0"
"35","1.31","0.4052019165",0,0,"0","HBACK",2,"M","C",1,"01101    0    0    0"
"36","1.9","0.8542094456",0,0,"0","SEDAN",1,"F","A",4,"01101    0    0    0"
"37","2.42","0.5776865161",0,0,"0","SEDAN",1,"F","A",4,"01101    0    0    0"
"38","1.05","0.4216290212",0,0,"0","HDTOP",4,"F","C",6,"01101    0    0    0"
"39","1.42","0.5941136208",0,0,"0","TRUCK",3,"M","D",4,"01101    0    0    0"
"40","3","0.8542094456",0,0,"0","STNWG",3,"M","B",3,"01101    0    0    0"
"41","1.89","0.6543463381",1,2,"1811.7099972","STNWG",3,"M","F",2,"01101    0    0    0"
"42","2.61","0.2518822724",0,0,"0","STNWG",2,"M","B",4,"01101    0    0    0"
"43","0.93","0.5366187543",0,0,"0","COUPE",4,"F","A",4,"01101    0    0    0"
"44","1.49","0.4052019165",0,0,"0","HBACK",2,"F","C",2,"01101    0    0    0"
"45","3.1","0.462696783",0,0,"0","HDTOP",1,"F","C",3,"01101    0    0    0"
"46","1.94","0.5366187543",0,0,"0","SEDAN",1,"M","A",6,"01101    0    0    0"
"47","2.234","0.8542094456",0,0,"0","SEDAN",1,"M","C",2,"01101    0    0    0"
"48","1.62","0.8542094456",0,0,"0","SEDAN",2,"F","B",4,"01101    0    0    0"
"49","2.14","0.5366187543",0,0,"0","HDTOP",3,"M","D",4,"01101    0    0    0"
"50","1.77","0.2491444216",0,0,"0","HBACK",2,"F","E",1,"01101    0    0    0"
"51","4.03","0.462696783",0,0,"0","STNWG",1,"M","F",2,"01101    0    0    0"
"52","2.65","0.0958247775",0,0,"0","SEDAN",1,"F","C",3,"01101    0    0    0"
"53","1.13","0.3039014374",0,0,"0","STNWG",4,"M","A",1,"01101    0    0    0"
"54","1.53","0.1697467488",0,0,"0","SEDAN",3,"F","D",3,"01101    0    0    0"
"55","1.05","0.9062286105",0,0,"0","HBACK",2,"F","F",3,"01101    0    0    0"
"56","0.88","0.5366187543",0,0,"0","COUPE",4,"M","B",4,"01101    0    0    0"
"57","2.9","0.8542094456",0,0,"0","STNWG",3,"M","B",5,"01101    0    0    0"
"58","2.67","0.5366187543",0,0,"0","HBACK",1,"F","A",2,"01101    0    0    0"
"59","0.83","0.3449691992",0,0,"0","SEDAN",4,"M","C",5,"01101    0    0    0"
"60","0.7","0.2491444216",0,0,"0","SEDAN",4,"F","C",1,"01101    0    0    0"
"61","1.15","0.9062286105",0,0,"0","STNWG",3,"F","A",3,"01101    0    0    0"
"62","0.99","0.3175906913",0,0,"0","HBACK",3,"F","B",3,"01101    0    0    0"
"63","1.75","0.9719370294",0,0,"0","SEDAN",2,"F","B",2,"01101    0    0    0"
"64","2.65","0.0958247775",0,0,"0","SEDAN",1,"F","C",3,"01101    0    0    0"
"65","4.06","0.8514715948",1,1,"5434.4399872","STNWG",2,"M","F",3,"01101    0    0    0"
"66","1.39","0.3175906913",1,1,"865.78999901","HBACK",3,"F","A",4,"01101    0    0    0"
"67","1.19","0.9062286105",0,0,"0","HBACK",2,"F","B",5,"01101    0    0    0"
"68","1.19","0.9062286105",0,0,"0","HBACK",2,"F","A",1,"01101    0    0    0"
"69","0.79","0.3531827515",0,0,"0","HBACK",3,"F","B",2,"01101    0    0    0"
"70","1.74","0.8542094456",0,0,"0","HBACK",2,"F","C",3,"01101    0    0    0"
"71","0.77","0.0930869268",0,0,"0","COUPE",4,"M","C",2,"01101    0    0    0"
"72","2.58","0.0301163587",0,0,"0","HBACK",2,"M","A",5,"01101    0    0    0"
"73","0.79","0.0301163587",0,0,"0","SEDAN",3,"F","E",3,"01101    0    0    0"
"74","1.79","0.6735112936",0,0,"0","UTE",4,"F","E",3,"01101    0    0    0"
"75","1.79","0.0465434634",0,0,"0","HBACK",1,"M","C",6,"01101    0    0    0"
"76","1.9","0.8542094456",0,0,"0","HBACK",1,"M","C",1,"01101    0    0    0"
"77","1.84","0.0958247775",0,0,"0","STNWG",4,"M","A",3,"01101    0    0    0"
"78","0.39","0.0301163587",0,0,"0","HBACK",4,"F","B",4,"01101    0    0    0"
"79","5.39","0.0246406571",0,0,"0","STNWG",2,"M","A",5,"01101    0    0    0"
"80","1.43","0.0301163587",0,0,"0","SEDAN",2,"F","B",4,"01101    0    0    0"
"81","2.33","0.2299794661",0,0,"0","MIBUS",3,"F","C",3,"01101    0    0    0"
"82","3.68","0.34770705",0,0,"0","UTE",1,"F","E",2,"01101    0    0    0"
"83","3.43","0.3175906913",0,0,"0","STNWG",2,"F","D",2,"01101    0    0    0"
"84","1.13","0.2299794661",0,0,"0","SEDAN",3,"M","A",3,"01101    0    0    0"
"85","2.65","0.3175906913",0,0,"0","HDTOP",3,"M","F",5,"01101    0    0    0"
"86","1.98","0.2299794661",0,0,"0","UTE",3,"M","A",2,"01101    0    0    0"
"87","0.68","0.2491444216",0,0,"0","HBACK",3,"F","E",3,"01101    0    0    0"
"88","1.15","0.6652977413",0,0,"0","SEDAN",3,"M","C",4,"01101    0    0    0"
"89","3.19","0.9993155373",0,0,"0","HDTOP",3,"M","F",4,"01101    0    0    0"
"90","1.14","0.3449691992",0,0,"0","SEDAN",3,"M","C",4,"01101    0    0    0"
"91","1.43","0.219028063",0,0,"0","SEDAN",2,"F","C",4,"01101    0    0    0"
"92","1.22","0.7775496235",0,0,"0","HDTOP",4,"F","D",2,"01101    0    0    0"
"93","1.75","0.2436687201",0,0,"0","SEDAN",2,"M","A",4,"01101    0    0    0"
"94","0.38","0.7501711157",0,0,"0","HBACK",4,"F","A",2,"01101    0    0    0"
"95","4.7","0.2327173169",0,0,"0","STNWG",2,"M","D",2,"01101    0    0    0"
"96","2.66","0.3175906913",1,1,"1105.7699986","STNWG",1,"F","F",5,"01101    0    0    0"
"97","1.59","0.2299794661",0,0,"0","SEDAN",1,"F","A",1,"01101    0    0    0"
"98","0.54","0.0273785079",0,0,"0","SEDAN",4,"M","A",4,"01101    0    0    0"
"99","0.5","0.0711841205",1,1,"200","HBACK",4,"F","A",5,"01101    0    0    0"
"100","1.3","0.2299794661",0,0,"0","HBACK",2,"F","B",1,"01101    0    0    0"
"101","1.41","0.0273785079",0,0,"0","HBACK",2,"F","C",4,"01101    0    0    0"
"102","1.75","0.3175906913",0,0,"0","HBACK",2,"F","B",4,"01101    0    0    0"
"103","2.29","0.0301163587",0,0,"0","UTE",2,"M","C",2,"01101    0    0    0"
"104","4.64","0.2217659138",0,0,"0","STNWG",1,"F","D",3,"01101    0    0    0"
"105","0.8","0.2765229295",0,0,"0","HBACK",3,"M","C",6,"01101    0    0    0"
"106","3.55","0.8514715948",0,0,"0","STNWG",2,"F","C",3,"01101    0    0    0"
"107","1.75","0.3175906913",0,0,"0","HBACK",2,"M","A",3,"01101    0    0    0"
"108","1.48","0.6954140999",0,0,"0","HBACK",2,"F","B",2,"01101    0    0    0"
"109","1.22","0.3942505133",0,0,"0","HBACK",3,"M","C",3,"01101    0    0    0"
"110","3.14","0.3066392882",0,0,"0","UTE",2,"F","A",2,"01101    0    0    0"
"111","1.51","0.3175906913",0,0,"0","STNWG",4,"M","A",4,"01101    0    0    0"
"112","1.65","0.7227926078",0,0,"0","SEDAN",3,"M","C",4,"01101    0    0    0"
"113","1.64","0.3175906913",0,0,"0","UTE",2,"M","C",4,"01101    0    0    0"
"114","2.17","0.3449691992",0,0,"0","STNWG",3,"F","F",5,"01101    0    0    0"
"115","1.31","0.3175906913",0,0,"0","HBACK",2,"M","B",2,"01101    0    0    0"
"116","1.16","0.5968514716",1,2,"739.22999954","STNWG",4,"F","B",2,"01101    0    0    0"
"117","0.77","0.8788501027",0,0,"0","SEDAN",4,"F","C",5,"01101    0    0    0"
"118","0.43","0.3175906913",0,0,"0","HBACK",4,"F","B",3,"01101    0    0    0"
"119","4.98","0.7227926078",0,0,"0","STNWG",1,"M","F",5,"01101    0    0    0"
"120","1.72","0.9062286105",0,0,"0","SEDAN",2,"F","D",6,"01101    0    0    0"
"121","2.47","0.6707734428",0,0,"0","HDTOP",3,"M","D",2,"01101    0    0    0"
"122","4.17","0.7227926078",0,0,"0","STNWG",2,"F","C",2,"01101    0    0    0"
"123","1.13","0.2299794661",0,0,"0","SEDAN",3,"M","B",6,"01101    0    0    0"
"124","0.67","0.0273785079",0,0,"0","HBACK",4,"F","A",5,"01101    0    0    0"
"125","3.56","0.9062286105",1,1,"3230.5999985","MCARA",3,"M","F",4,"01101    0    0    0"
"126","2.56","0.3175906913",0,0,"0","STNWG",2,"F","A",3,"01101    0    0    0"
"127","1.36","0.2299794661",0,0,"0","HBACK",1,"F","C",5,"01101    0    0    0"
"128","3.999","0.9993155373",0,0,"0","SEDAN",1,"M","C",1,"01101    0    0    0"
"129","1.64","0.090349076",0,0,"0","HBACK",2,"F","A",4,"01101    0    0    0"
"130","2.15","0.6543463381",1,1,"200","SEDAN",3,"F","A",5,"01101    0    0    0"
"131","0.89","0.2299794661",0,0,"0","HBACK",3,"M","C",2,"01101    0    0    0"
"132","3.03","0.9034907598",1,1,"200","TRUCK",1,"M","C",1,"01101    0    0    0"
"133","2.41","0.3394934976",1,1,"407.83999968","STNWG",3,"M","E",1,"01101    0    0    0"
"134","0.73","0.7693360712",0,0,"0","SEDAN",4,"M","E",5,"01101    0    0    0"
"135","0.82","0.462696783",0,0,"0","HDTOP",4,"F","F",1,"01101    0    0    0"
"136","1.39","0.0930869268",0,0,"0","SEDAN",3,"M","A",2,"01101    0    0    0"
"137","2.54","0.3449691992",0,0,"0","HDTOP",3,"M","C",5,"01101    0    0    0"
"138","0.76","0.3449691992",0,0,"0","SEDAN",4,"M","D",3,"01101    0    0    0"
"139","0.41","0.2299794661",0,0,"0","HBACK",4,"M","A",5,"01101    0    0    0"
"140","3.599","0.5831622177",0,0,"0","STNWG",1,"F","B",3,"01101    0    0    0"
"141","1.98","0.3066392882",0,0,"0","SEDAN",3,"F","A",3,"01101    0    0    0"
"142","0.76","0.2299794661",0,0,"0","SEDAN",4,"F","A",3,"01101    0    0    0"
"143","0.53","0.2299794661",0,0,"0","HBACK",4,"F","B",3,"01101    0    0    0"
"144","1.86","0.3449691992",0,0,"0","STNWG",2,"F","B",4,"01101    0    0    0"
"145","0.22","0.2929500342",0,0,"0","HBACK",4,"M","C",6,"01101    0    0    0"
"146","1.65","0.7227926078",0,0,"0","SEDAN",3,"F","F",3,"01101    0    0    0"
"147","1.33","0.2245037645",0,0,"0","HBACK",3,"F","A",6,"01101    0    0    0"
"148","0.85","0.3066392882",0,0,"0","HBACK",3,"F","A",3,"01101    0    0    0"
"149","1.97","0.6160164271",0,0,"0","STNWG",3,"M","D",5,"01101    0    0    0"
"150","1.15","0.0191649555",0,0,"0","HBACK",4,"F","A",4,"01101    0    0    0"
"151","2.65","0.2902121834",0,0,"0","SEDAN",1,"M","A",5,"01101    0    0    0"
"152","0.45","0.6160164271",0,0,"0","HBACK",4,"F","B",6,"01101    0    0    0"
"153","0.45","0.6160164271",0,0,"0","HBACK",4,"F","A",6,"01101    0    0    0"
"154","0.67","0.6160164271",0,0,"0","SEDAN",4,"F","D",5,"01101    0    0    0"
"155","1.3","0.6488706365",0,0,"0","HBACK",2,"F","C",5,"01101    0    0    0"
"156","0.59","0.6160164271",0,0,"0","COUPE",4,"F","A",4,"01101    0    0    0"
"157","1.55","0.6160164271",0,0,"0","SEDAN",2,"F","E",5,"01101    0    0    0"
"158","1.56","0.2464065708",0,0,"0","SEDAN",1,"F","D",5,"01101    0    0    0"
"159","0.41","0.6160164271",0,0,"0","SEDAN",4,"F","A",5,"01101    0    0    0"
"160","1.72","0.6461327858",0,0,"0","SEDAN",2,"F","B",6,"01101    0    0    0"
"161","0.44","0.6160164271",0,0,"0","SEDAN",4,"M","D",6,"01101    0    0    0"
"162","2.58","0.6160164271",0,0,"0","STNWG",3,"M","D",6,"01101    0    0    0"
"163","1.84","0.2299794661",0,0,"0","PANVN",1,"M","C",3,"01101    0    0    0"
"164","0.22","0.6160164271",0,0,"0","HBACK",4,"F","B",5,"01101    0    0    0"
"165","1.72","0.6160164271",1,1,"1619.829998","STNWG",2,"F","A",6,"01101    0    0    0"
"166","3.05","0.2299794661",0,0,"0","STNWG",2,"F","F",2,"01101    0    0    0"
"167","1.85","0.3367556468",0,0,"0","SEDAN",1,"F","D",5,"01101    0    0    0"
"168","3.21","0.6160164271",0,0,"0","STNWG",1,"M","B",4,"01101    0    0    0"
"169","0.89","0.6160164271",0,0,"0","STNWG",4,"M","C",6,"01101    0    0    0"
"170","1.98","0.3832991102",0,0,"0","SEDAN",2,"M","A",2,"01101    0    0    0"
"171","0.52","0.3832991102",0,0,"0","SEDAN",4,"F","A",6,"01101    0    0    0"
"172","1.92","0.6160164271",1,1,"1010.9199982","STNWG",4,"M","A",5,"01101    0    0    0"
"173","1.15","0.6160164271",0,0,"0","HBACK",3,"F","C",2,"01101    0    0    0"
"174","0.5","0.6160164271",0,0,"0","STNWG",4,"F","C",3,"01101    0    0    0"
"175","6.54","0.2299794661",0,0,"0","STNWG",1,"F","D",4,"01101    0    0    0"
"176","5.14","0.6160164271",0,0,"0","STNWG",1,"M","B",6,"01101    0    0    0"
"177","0.67","0.6160164271",0,0,"0","SEDAN",4,"F","C",4,"01101    0    0    0"
"178","1.39","0.3832991102",0,0,"0","SEDAN",3,"M","C",2,"01101    0    0    0"
"179","4.65","0.3832991102",0,0,"0","STNWG",1,"F","E",3,"01101    0    0    0"
"180","1.43","0.3832991102",0,0,"0","SEDAN",3,"F","D",2,"01101    0    0    0"
"181","0.43","0.3832991102",0,0,"0","SEDAN",4,"F","C",2,"01101    0    0    0"
"182","1.02","0.6187542779",0,0,"0","SEDAN",3,"F","B",5,"01101    0    0    0"
"183","1.51","0.1752224504",0,0,"0","SEDAN",3,"F","B",2,"01101    0    0    0"
"184","2.649","0.257357974",1,1,"9424.3499756","TRUCK",1,"M","A",1,"01101    0    0    0"
"185","1.31","0.6160164271",0,0,"0","STNWG",4,"M","D",3,"01101    0    0    0"
"186","2.48","0.424366872",0,0,"0","STNWG",3,"M","C",1,"01101    0    0    0"
"187","1.74","0.257357974",0,0,"0","SEDAN",2,"F","A",2,"01101    0    0    0"
"188","1.62","0.0930869268",0,0,"0","STNWG",4,"F","F",3,"01101    0    0    0"
"189","5.43","0.6160164271",0,0,"0","STNWG",1,"F","C",3,"01101    0    0    0"
"190","0.65","0.6160164271",0,0,"0","SEDAN",4,"M","A",4,"01101    0    0    0"
"191","0.35","0.6160164271",0,0,"0","SEDAN",4,"M","E",5,"01101    0    0    0"
"192","3.73","0.6160164271",0,0,"0","STNWG",2,"M","A",5,"01101    0    0    0"
"193","1.61","0.3449691992",0,0,"0","SEDAN",2,"F","C",4,"01101    0    0    0"
"194","0.82","0.6160164271",0,0,"0","HBACK",4,"F","A",6,"01101    0    0    0"
"195","1.33","0.6160164271",0,0,"0","TRUCK",4,"M","F",1,"01101    0    0    0"
"196","0.78","0.3422313484",0,0,"0","HBACK",3,"F","C",4,"01101    0    0    0"
"197","3.98","0.6160164271",0,0,"0","STNWG",2,"F","C",2,"01101    0    0    0"
"198","0.95","0.6160164271",0,0,"0","HDTOP",4,"M","A",6,"01101    0    0    0"
"199","1.14","0.3832991102",0,0,"0","SEDAN",4,"F","B",3,"01101    0    0    0"
"200","0.53","0.6160164271",0,0,"0","SEDAN",4,"F","D",5,"01101    0    0    0"
"201","1.5","0.6160164271",0,0,"0","STNWG",4,"M","A",3,"01101    0    0    0"
"202","1.76","0.6160164271",0,0,"0","STNWG",2,"M","C",3,"01101    0    0    0"
"203","1","0.3148528405",0,0,"0","HBACK",2,"M","B",4,"01101    0    0    0"
"204","1.22","0.6160164271",0,0,"0","HBACK",3,"M","A",4,"01101    0    0    0"
"205","2.82","0.3832991102",0,0,"0","STNWG",3,"F","C",3,"01101    0    0    0"
"206","2.13","0.900752909",0,0,"0","HDTOP",2,"F","A",2,"01101    0    0    0"
"207","1.01","0.2847364819",0,0,"0","STNWG",4,"M","B",6,"01101    0    0    0"
"208","1.84","0.6160164271",0,0,"0","SEDAN",2,"F","A",6,"01101    0    0    0"
"209","3.11","0.3832991102",0,0,"0","TRUCK",3,"M","C",3,"01101    0    0    0"
"210","0.39","0.6160164271",0,0,"0","SEDAN",4,"M","A",4,"01101    0    0    0"
"211","1.01","0.0930869268",0,0,"0","HBACK",3,"F","E",1,"01101    0    0    0"
"212","2.58","0.6160164271",0,0,"0","STNWG",3,"M","C",5,"01101    0    0    0"
"213","0.51","0.6160164271",0,0,"0","SEDAN",4,"F","A",4,"01101    0    0    0"
"214","1.02","0.6160164271",0,0,"0","SEDAN",3,"F","C",6,"01101    0    0    0"
"215","1.63","0.6461327858",0,0,"0","HBACK",2,"F","C",5,"01101    0    0    0"
"216","0.84","0.6160164271",0,0,"0","HBACK",3,"F","C",4,"01101    0    0    0"
"217","2.34","0.6160164271",0,0,"0","HBACK",3,"M","C",5,"01101    0    0    0"
"218","1.86","0.6160164271",1,1,"238.64000034","SEDAN",2,"F","C",3,"01101    0    0    0"
"219","7.2","0.6160164271",0,0,"0","SEDAN",3,"F","D",6,"01101    0    0    0"
"220","0.46","0.6160164271",0,0,"0","STNWG",4,"F","A",4,"01101    0    0    0"
"221","1.66","0.9034907598",0,0,"0","STNWG",3,"F","A",3,"01101    0    0    0"
"222","3.71","0.7665982204",0,0,"0","STNWG",1,"F","C",3,"01101    0    0    0"
"223","1.62","0.6160164271",0,0,"0","STNWG",4,"F","F",3,"01101    0    0    0"
"224","0.58","0.6160164271",0,0,"0","COUPE",4,"F","B",4,"01101    0    0    0"
"225","3.06","0.6160164271",0,0,"0","STNWG",3,"F","F",4,"01101    0    0    0"
"226","1.17","0.7693360712",0,0,"0","SEDAN",3,"F","D",1,"01101    0    0    0"
"227","0.98","0.6160164271",0,0,"0","SEDAN",3,"F","B",3,"01101    0    0    0"
"228","1.02","0.6160164271",0,0,"0","HBACK",4,"F","B",2,"01101    0    0    0"
"229","1.4","0.6160164271",0,0,"0","SEDAN",3,"F","A",4,"01101    0    0    0"
"230","2.97","0.0985626283",0,0,"0","STNWG",1,"M","F",4,"01101    0    0    0"
"231","1.78","0.6187542779",0,0,"0","SEDAN",2,"F","C",2,"01101    0    0    0"
"232","0.41","0.3449691992",0,0,"0","HBACK",4,"F","B",3,"01101    0    0    0"
"233","2.74","0.9418206708",0,0,"0","STNWG",2,"M","C",3,"01101    0    0    0"
"234","5.299","0.3832991102",0,0,"0","STNWG",1,"F","D",3,"01101    0    0    0"
"235","1.42","0.2546201232",0,0,"0","HBACK",1,"M","C",3,"01101    0    0    0"
"236","2.01","0.6160164271",0,0,"0","HDTOP",3,"M","E",5,"01101    0    0    0"
"237","1.54","0.6160164271",1,1,"200","STNWG",2,"F","B",3,"01101    0    0    0"
"238","4","0.6160164271",0,0,"0","STNWG",2,"F","A",4,"01101    0    0    0"
"239","1.3","0.6461327858",0,0,"0","HBACK",2,"M","C",4,"01101    0    0    0"
"240","1.34","0.1724845996",0,0,"0","HBACK",2,"F","B",3,"01101    0    0    0"
"241","1.67","0.3832991102",0,0,"0","STNWG",2,"F","E",5,"01101    0    0    0"
"242","1.88","0.7501711157",1,1,"369.17999983","PANVN",3,"M","D",3,"01101    0    0    0"
"243","1.03","0.3449691992",0,0,"0","HBACK",3,"F","D",4,"01101    0    0    0"
"244","1.43","0.2299794661",0,0,"0","TRUCK",4,"M","D",1,"01101    0    0    0"
"245","0.89","0.6844626968",1,1,"353.76999998","SEDAN",3,"F","D",3,"01101    0    0    0"
"246","1.13","0.0930869268",0,0,"0","STNWG",4,"F","B",2,"01101    0    0    0"
"247","1.9","0.1916495551",0,0,"0","PANVN",3,"M","C",5,"01101    0    0    0"
"248","2.11","0.8706365503",0,0,"0","HBACK",2,"F","C",3,"01101    0    0    0"
"249","1.82","0.7501711157",0,0,"0","UTE",1,"M","D",4,"01101    0    0    0"
"250","0","0.9993155373",0,0,"0","BUS",3,"M","F",5,"01101    0    0    0"
"251","3.03","0.7529089665",0,0,"0","STNWG",1,"M","D",3,"01101    0    0    0"
"252","3.7","0.4161533196",0,0,"0","STNWG",3,"M","C",1,"01101    0    0    0"
"253","2.22","0.3915126626",0,0,"0","HDTOP",3,"F","C",2,"01101    0    0    0"
"254","2.15","0.6461327858",0,0,"0","SEDAN",3,"F","A",4,"01101    0    0    0"
"255","0.58","0.6461327858",0,0,"0","HBACK",4,"M","A",3,"01101    0    0    0"
"256","1.53","0.6269678302",0,0,"0","STNWG",4,"M","A",4,"01101    0    0    0"
"257","1.55","0.6461327858",0,0,"0","HBACK",2,"F","C",2,"01101    0    0    0"
"258","1.12","0.6461327858",0,0,"0","STNWG",4,"M","A",3,"01101    0    0    0"
"259","0.48","0.925393566",0,0,"0","HBACK",4,"F","A",6,"01101    0    0    0"
"260","1.67","0.0930869268",0,0,"0","TRUCK",1,"M","B",2,"01101    0    0    0"
"261","1.02","0.643394935",0,0,"0","HBACK",3,"M","C",4,"01101    0    0    0"
"262","1.64","0.2491444216",0,0,"0","STNWG",4,"M","C",3,"01101    0    0    0"
"263","2.01","0.5557837098",0,0,"0","TRUCK",3,"M","F",5,"01101    0    0    0"
"264","0.85","0.925393566",0,0,"0","HBACK",3,"F","B",4,"01101    0    0    0"
"265","1.42","0.6461327858",0,0,"0","HBACK",1,"F","C",6,"01101    0    0    0"
"266","2.75","0.2491444216",0,0,"0","STNWG",3,"F","B",3,"01101    0    0    0"
"267","1.66","0.128678987",0,0,"0","SEDAN",2,"M","F",3,"01101    0    0    0"
"268","1.66","0.2299794661",0,0,"0","SEDAN",3,"M","C",5,"01101    0    0    0"
"269","1.18","0.219028063",0,0,"0","STNWG",4,"F","B",3,"01101    0    0    0"
"270","0.95","0.7173169062",0,0,"0","SEDAN",4,"F","C",6,"01101    0    0    0"
"271","1.77","0.643394935",0,0,"0","SEDAN",2,"M","C",4,"01101    0    0    0"
"272","1.3","0.720054757",0,0,"0","HBACK",1,"F","B",3,"01101    0    0    0"
"273","0.65","0.7857631759",0,0,"0","MIBUS",4,"F","B",5,"01101    0    0    0"
"274","0.73","0.9062286105",0,0,"0","SEDAN",4,"M","C",6,"01101    0    0    0"
"275","1.12","0.5037645448",0,0,"0","HBACK",2,"F","B",1,"01101    0    0    0"
"276","0.98","0.2299794661",0,0,"0","HBACK",3,"F","E",6,"01101    0    0    0"
"277","1.399","0.7693360712",0,0,"0","HBACK",1,"F","B",5,"01101    0    0    0"
"278","1.31","0.1998631075",0,0,"0","UTE",4,"M","C",5,"01101    0    0    0"
"279","1.76","0.2299794661",0,0,"0","SEDAN",1,"F","E",1,"01101    0    0    0"
"280","1.42","0.900752909",0,0,"0","HBACK",1,"F","C",3,"01101    0    0    0"
"281","0.41","0.2299794661",0,0,"0","SEDAN",4,"F","E",2,"01101    0    0    0"
"282","4","0.2299794661",0,0,"0","STNWG",2,"M","C",3,"01101    0    0    0"
"283","1.19","0.0930869268",0,0,"0","UTE",4,"M","B",4,"01101    0    0    0"
"284","0.47","0.7501711157",0,0,"0","HBACK",4,"F","C",1,"01101    0    0    0"
"285","2.01","0.0273785079",0,0,"0","UTE",3,"F","F",3,"01101    0    0    0"
"286","1.55","0.9062286105",0,0,"0","HDTOP",4,"M","D",1,"01101    0    0    0"
"287","1.45","0.1998631075",0,0,"0","SEDAN",2,"F","D",2,"01101    0    0    0"
"288","1.2","0.0930869268",0,0,"0","HBACK",2,"M","C",1,"01101    0    0    0"
"289","1.03","0.2299794661",0,0,"0","STNWG",3,"F","A",1,"01101    0    0    0"
"290","1.89","0.8514715948",0,0,"0","STNWG",2,"F","A",6,"01101    0    0    0"
"291","2","0.3011635866",0,0,"0","SEDAN",1,"M","B",4,"01101    0    0    0"
"292","1.73","0.2491444216",0,0,"0","SEDAN",2,"M","F",3,"01101    0    0    0"
"293","1.07","0.2299794661",0,0,"0","SEDAN",3,"F","D",2,"01101    0    0    0"
"294","2.72","0.2491444216",0,0,"0","SEDAN",1,"F","A",3,"01101    0    0    0"
"295","3.22","0.8514715948",0,0,"0","UTE",1,"M","C",3,"01101    0    0    0"
"296","0.45","0.2354551677",0,0,"0","COUPE",4,"F","E",4,"01101    0    0    0"
"297","0.48","0.052019165",0,0,"0","SEDAN",4,"F","C",6,"01101    0    0    0"
"298","1.22","0.605065024",0,0,"0","HBACK",3,"M","C",4,"01101    0    0    0"
"299","3.19","0.9993155373",0,0,"0","HBACK",2,"F","A",4,"01101    0    0    0"
