"nocontrat";"no";"garantie";"cout";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region"
"73";43729;53908;"1RC";1128.12;0.7;"C";4;8;63;62;2;"E";31;13
"74";43864;24168;"1RC";1128.12;0.52;"E";6;14;29;100;13;"E";52;0
"75";44649;98294;"1RC";564.06;1;"D";7;5;37;90;2;"D";91;2
"76";45017;86733;"1RC";1430.73;0.62;"C";7;4;42;50;1;"D";82;13
"77";45886;97414;"1RC";2425.45;0.33;"C";6;16;21;112;1;"D";41;-1
"78";46886;72873;"1RC";2030.28;0.27;"C";4;12;34;125;2;"E";24;-1
"79";47904;23673;"1RC";38.78;0.75;"C";6;9;32;50;1;"D";82;13
"80";48633;26421;"1RC";564.06;0.66;"E";6;5;22;95;2;"E";11;1
"81";48871;37856;"1RC";60.53;0.92;"C";5;5;37;50;1;"D";52;13
"82";49196;25348;"1RC";1220.25;1;"D";11;6;65;50;10;"D";52;13
"83";49568;24859;"1RC";3538.48;1;"B";6;2;52;50;1;"D";52;13
"84";49828;24934;"1RC";439.6;1;"C";7;1;61;50;3;"D";52;13
"85";49939;25195;"1RC";1128.12;0.75;"C";6;5;35;56;2;"D";52;13
"86";49971;24864;"1RC";1128.12;1;"E";7;10;43;85;12;"D";52;3
"87";50045;25350;"1RC";1128.12;1;"C";5;5;51;50;5;"D";52;13
"88";50485;25089;"1RC";1128.12;0.71;"C";7;5;23;76;3;"E";52;5
"89";50485;25227;"1RC";494.58;0.71;"C";7;5;23;76;3;"E";52;5
"90";50856;26540;"1RC";1128.12;0.96;"D";6;2;53;96;5;"E";11;0
"91";51196;26653;"1RC";1781.87;0.74;"D";8;7;29;95;1;"D";11;1
"92";52060;27649;"1RC";4329.55;0.46;"A";7;16;52;50;2;"D";24;13
"93";52427;27461;"1RC";1128.12;0.19;"B";7;14;35;95;2;"D";24;1
"94";52587;27907;"1RC";286.7;1;"B";5;2;26;72;1;"E";24;6
"95";53964;85736;"1RC";693.32;0.18;"A";10;10;32;68;2;"D";24;7
"96";54009;86290;"1RC";438.54;0.56;"A";4;4;46;50;4;"D";24;13
"97";54009;86523;"1RC";2187.66;0.56;"A";4;4;46;50;4;"D";24;13
"98";54009;87222;"1RC";1128.12;0.56;"A";4;4;46;50;4;"D";24;13
"99";54009;86500;"1RC";1128.12;0.56;"A";4;4;46;50;4;"D";24;13
"100";54801;24652;"1RC";1128.12;0.71;"C";5;15;43;75;2;"E";24;5
"101";55365;98232;"1RC";685.77;1;"D";6;5;67;53;2;"D";82;13
"102";55610;98082;"1RC";462.01;1;"E";5;12;48;55;3;"E";82;13
"103";55655;98173;"1RC";10.23;1;"E";6;5;32;55;3;"D";82;13
"104";56237;26697;"1RC";42.16;1;"F";8;11;45;90;12;"E";11;2
"105";56999;99738;"1RC";3771.43;0.81;"C";7;14;25;100;1;"E";24;0
"106";57703;84338;"1RC";115.32;0.84;"C";10;11;33;58;5;"E";53;13
"107";57879;84062;"1RC";517.93;1;"C";7;12;30;60;5;"E";53;9
"108";58080;99293;"1RC";1128.12;1;"A";7;3;52;50;1;"D";24;13
"109";59327;30108;"1RC";1228.12;1;"E";7;11;80;50;2;"E";24;13
"110";59327;30039;"1RC";1128.12;1;"E";7;11;80;50;2;"E";24;13
"111";59499;30090;"1RC";2523.49;0.53;"B";5;0;69;50;2;"D";93;13
"112";59975;98606;"1RC";701.37;0.74;"C";12;5;34;50;10;"D";31;13
"113";60033;98612;"1RC";1021.81;1;"E";4;2;48;50;4;"E";31;13
"114";60181;40995;"1RC";1128.12;1;"E";4;12;26;90;2;"E";22;2
"115";60464;47975;"1RC";1128.12;1;"B";6;7;45;51;6;"D";72;12
"116";60464;48042;"1RC";157.9;1;"B";6;7;45;51;6;"D";72;12
"117";61727;70555;"1RC";1128.12;0.31;"C";7;5;59;50;6;"D";72;13
"118";61782;29016;"1RC";1128.12;0.17;"C";6;3;50;50;13;"D";72;13
"119";62583;54065;"1RC";1128.12;0.92;"E";4;14;30;64;1;"E";82;8
"120";64373;72064;"1RC";1128.12;1;"B";7;12;46;107;2;"E";82;-1
"121";64373;71298;"1RC";1128.12;1;"B";7;12;46;107;2;"E";82;-1
"122";65163;40318;"1RC";73.49;1;"D";4;12;43;57;2;"E";82;10
"123";66155;26939;"1RC";1530.8;0.31;"C";7;11;59;50;5;"D";72;13
"124";66334;26951;"1RC";2027.93;1;"B";4;8;60;50;5;"E";72;13
"125";67042;24431;"1RC";2615.98;0.44;"D";7;7;44;50;2;"E";91;13
"126";67476;58770;"1RC";1128.12;1;"A";5;5;72;50;3;"D";54;13
"127";67488;58626;"1RC";1128.12;0.54;"D";7;6;36;62;1;"E";93;13
"128";67610;58138;"1RC";1549.86;0.7;"C";7;9;36;50;2;"D";93;13
"129";67986;97707;"1RC";121.98;1;"C";9;1;52;50;12;"E";82;13
"130";69098;29686;"1RC";1128.12;0.31;"C";7;6;31;106;12;"D";93;-1
"131";69499;82342;"1RC";80.21;1;"D";7;10;40;50;2;"E";42;13
"132";70192;23819;"1RC";356.36;1;"E";6;9;62;50;6;"E";82;13
"133";70386;64115;"1RC";2790.59;0.2;"B";5;3;25;90;2;"D";26;2
"134";70652;23528;"1RC";1128.12;1;"D";5;1;37;62;1;"D";82;13
"135";70674;45021;"1RC";523.24;0.22;"E";10;7;62;50;6;"E";82;13
"136";71799;64682;"1RC";1128.12;1;"C";7;2;35;64;2;"E";24;8
"137";72098;99407;"1RC";556.15;1;"D";12;8;56;62;13;"E";52;13
"138";72103;98753;"1RC";376.22;1;"E";4;3;65;50;2;"E";52;13
"139";72353;99429;"1RC";1128.12;0.61;"E";4;7;50;77;6;"E";52;4
"140";72370;99436;"1RC";5870.78;0.49;"E";7;1;70;55;2;"E";52;13
"141";73644;53078;"1RC";1128.12;0.59;"D";8;13;43;50;11;"E";54;13
"142";73644;53089;"1RC";1597.67;0.59;"D";8;13;43;50;11;"E";54;13
"143";73692;52677;"1RC";1128.12;0.47;"D";9;7;24;100;13;"E";54;0
"144";74896;97580;"1RC";1128.12;0.31;"D";13;7;25;118;11;"E";41;-1
"145";76188;56871;"1RC";700.67;0.8;"C";7;15;51;50;2;"E";82;13
"146";76360;56782;"1RC";745.82;0.9;"D";5;6;52;50;4;"E";82;13
"147";76662;45934;"1RC";19883.77;0.2;"B";5;5;43;100;1;"D";54;0
"148";76677;29625;"1RC";4124.08;0.03;"A";9;14;46;50;10;"D";54;13
"149";77610;30523;"1RC";294.08;1;"C";6;13;38;50;2;"D";31;13
"150";78130;47964;"1RC";1277.72;0.77;"E";7;7;25;95;1;"E";72;1
"151";78130;47066;"1RC";1128.12;0.77;"E";7;7;25;95;1;"E";72;1
"152";78130;46899;"1RC";1128.12;0.77;"E";7;7;25;95;1;"E";72;1
"153";79063;55086;"1RC";1287.45;0.9;"E";6;16;50;54;10;"D";82;11
"154";79264;34762;"1RC";1128.12;0.2;"E";5;11;29;95;2;"D";82;1
"155";79963;96731;"1RC";564.06;1;"D";8;9;39;64;1;"D";24;8
"156";82118;98022;"1RC";1444.23;0.38;"E";4;12;35;50;2;"E";93;13
"157";82326;29030;"1RC";90.96;1;"C";7;9;29;68;2;"D";74;7
"158";82515;29024;"1RC";2410.01;0.66;"E";6;1;23;95;2;"E";11;1
"159";82946;25202;"1RC";1128.12;1;"C";6;5;26;100;3;"D";52;0
"160";83263;30978;"1RC";1428.12;0.28;"A";4;20;68;50;1;"E";93;13
"161";83555;28198;"1RC";600.63;0.28;"C";6;3;41;68;1;"D";24;7
"162";87435;27254;"1RC";1128.12;1;"D";5;9;71;50;2;"E";53;13
"163";88519;89418;"1RC";605.92;1;"C";5;12;67;50;1;"D";24;13
"164";88851;64970;"1RC";450.61;0.33;"D";6;4;29;50;5;"E";24;13
"165";88914;29829;"1RC";16344.79;0.79;"E";4;9;60;50;1;"E";93;13
"166";89607;47488;"1RC";1128;1;"D";4;13;21;106;1;"E";72;-1
"167";91328;29541;"1RC";1198.86;1;"D";6;4;46;50;2;"D";82;13
"168";91671;71843;"1RC";1306.87;0.01;"C";6;6;50;50;2;"D";82;13
"169";92306;63416;"1RC";1128.12;0.72;"E";10;4;31;74;6;"E";11;5
"170";92513;51857;"1RC";564.06;1;"D";5;15;40;50;2;"D";72;13
"171";93313;89841;"1RC";2040.86;1;"A";5;1;35;50;1;"D";82;13
"172";94008;25611;"1RC";1128.12;0.87;"E";5;4;38;50;1;"E";93;13
"173";94216;30600;"1RC";1422.04;1;"E";6;6;67;50;2;"E";31;13
"174";95268;23787;"1RC";3689.49;1;"C";9;3;42;50;12;"E";82;13
"175";95357;23670;"1RC";1128.12;1;"E";4;1;66;83;1;"E";82;3
"176";95362;23716;"1RC";109.4;0.48;"E";6;1;33;50;2;"D";82;13
"177";95904;99787;"1RC";1128.12;0.73;"E";5;8;26;68;5;"D";72;7
"178";96395;99296;"1RC";217.39;0.66;"A";5;0;60;77;5;"E";24;4
"179";98717;53433;"1RC";18.23;0.91;"C";7;7;34;62;6;"D";82;13
"180";98717;53886;"1RC";1128.12;0.91;"C";7;7;34;62;6;"D";82;13
"181";98809;30632;"1RC";1282.77;1;"D";8;19;29;95;1;"D";24;1
"182";98885;73461;"1RC";5947.35;0.07;"D";9;13;43;100;1;"E";52;0
"183";99187;73760;"1RC";875.18;0.13;"D";6;3;53;50;4;"E";24;13
"184";99273;74126;"1RC";1128.12;0.58;"D";6;16;38;125;1;"D";24;-1
"185";99670;29692;"1RC";1128.12;0.5;"E";4;10;40;62;1;"E";93;13
"186";99762;29867;"1RC";1079.08;0.36;"E";4;1;44;57;1;"E";93;10
"187";100022;23475;"1RC";3949.04;0.46;"B";6;1;36;57;4;"D";82;10
"188";100022;23506;"1RC";107.57;0.46;"B";6;1;36;57;4;"D";82;10
"189";100568;69755;"1RC";1128.12;0.11;"C";4;14;55;62;2;"E";72;13
"190";101167;41284;"1RC";426.5;0.72;"E";4;12;35;80;1;"D";22;4
"191";101212;49583;"1RC";1128.12;0.55;"C";5;12;21;100;3;"D";22;0
"192";101649;57716;"1RC";1128.12;0.5;"D";10;4;67;62;2;"E";82;13
"193";102583;99072;"1RC";2873.12;0.4;"C";4;11;42;75;1;"D";24;5
"194";103702;31125;"1RC";1128.12;0.12;"E";7;15;52;50;3;"E";93;13
"195";103835;96453;"1RC";1128.12;0.47;"A";5;6;43;50;3;"E";24;13
"196";104472;30486;"1RC";564.06;0.95;"D";5;0;31;58;5;"D";72;13
"197";104499;30564;"1RC";171.04;1;"D";7;13;69;50;2;"E";82;13
"198";104528;30519;"1RC";1128.12;0.43;"E";4;9;34;50;1;"E";31;13
"199";105786;68424;"1RC";1235;0.46;"C";7;9;71;50;6;"D";24;13
"200";106523;36394;"1RC";1072.47;1;"E";7;1;69;65;10;"D";93;7
"201";108767;26402;"1RC";1128.12;0.18;"D";5;10;47;64;5;"D";24;8
"202";108786;68834;"1RC";9512.82;0.73;"A";7;1;31;60;3;"D";24;9
"203";111900;31129;"1RC";1129.17;0.28;"E";4;8;26;95;13;"E";22;1
"204";112039;50846;"1RC";1128.12;0.29;"E";6;4;31;104;3;"D";31;-1
"205";112234;99707;"1RC";1128.12;0.08;"D";6;9;36;73;1;"D";24;5
"206";112860;29905;"1RC";1128.12;0.8;"E";8;13;38;58;2;"D";93;13
"207";113314;23775;"1RC";4074.95;0.44;"D";6;7;21;85;2;"E";82;3
"208";115178;60557;"1RC";1128.12;0.17;"C";5;14;44;61;6;"E";25;13
"209";116387;29917;"1RC";1128.12;0.41;"E";4;14;23;125;4;"E";93;-1
"210";120391;81890;"1RC";1428.12;0.25;"D";4;6;24;85;2;"E";54;3
"211";126258;23109;"1RC";423.5;1;"C";6;7;51;50;1;"D";53;13
"212";128259;37291;"1RC";1128.12;0.29;"C";6;18;80;50;1;"E";54;13
"213";128578;24868;"1RC";0.0099999999999909;0.72;"D";8;2;45;50;3;"D";52;13
"214";129088;97904;"1RC";564.06;1;"C";4;11;55;50;5;"E";82;13
"215";129438;83407;"1RC";1128.12;1;"C";6;11;46;50;1;"D";53;13
"216";129855;33885;"1RC";4475.9;0.21;"B";5;3;52;50;2;"D";24;13
"217";130138;97455;"1RC";3938.28;0.1;"E";7;3;50;62;1;"E";24;13
"218";130565;26092;"1RC";230.28;0.57;"D";6;0;36;54;5;"D";24;11
"219";130930;90296;"1RC";1415.11;0.53;"A";13;0;51;50;6;"E";24;13
"220";131161;26693;"1RC";1128.12;0.31;"C";7;4;45;73;4;"E";93;5
"221";131356;34795;"1RC";58.94;0.83;"A";6;8;64;50;2;"D";24;13
"222";131537;36616;"1RC";393.88;1;"A";6;4;33;63;2;"D";24;13
"223";131938;39442;"1RC";502.66;1;"C";6;5;30;60;2;"D";24;9
"224";132865;29560;"1RC";70.75;0.04;"C";5;0;61;50;1;"D";82;13
"225";133062;88718;"1RC";725.66;1;"C";14;7;54;50;10;"E";24;13
"226";133091;86023;"1RC";459.3;1;"A";6;6;32;156;1;"D";24;-1
"227";134112;25037;"1RC";2007.8;0.59;"E";5;4;33;60;4;"D";52;9
"228";134311;28530;"1RC";736.13;1;"B";5;2;34;50;2;"D";82;13
"229";134466;29510;"1RC";1128.12;0.68;"B";7;6;42;58;2;"D";82;13
"230";134678;60902;"1RC";341.66;1;"B";6;9;51;56;2;"D";52;13
"231";136054;98048;"1RC";1128.12;1;"E";4;7;55;52;1;"E";82;13
"232";136140;26465;"1RC";3420.11;1;"C";4;8;53;85;6;"E";82;3
"233";136858;98572;"1RC";2198.28;0.55;"A";5;11;51;50;2;"D";24;13
"234";137127;45379;"1RC";1128.12;1;"C";8;1;35;106;12;"D";25;-1
"235";137744;23281;"1RC";798.76;1;"C";5;9;35;50;5;"D";54;13
"236";138177;98307;"1RC";426.55;1;"E";6;11;37;51;2;"D";82;12
"237";138554;40417;"1RC";53.29;1;"C";7;1;64;50;2;"E";24;13
"238";141091;25704;"1RC";1128.12;1;"D";6;1;62;50;4;"D";54;13
"239";141105;83395;"1RC";1128.12;0.66;"C";6;18;48;62;1;"E";53;13
"240";141105;83340;"1RC";1128.12;0.66;"C";6;18;48;62;1;"E";53;13
"241";141568;97985;"1RC";1128.12;1;"A";4;7;39;52;6;"E";82;13
"242";142665;97935;"1RC";198.06;1;"C";6;6;64;50;2;"D";82;13
"243";142906;98515;"1RC";405.76;1;"A";7;5;37;50;1;"D";24;13
"244";143341;77054;"1RC";1128.12;1;"D";6;10;63;50;2;"D";82;13
"245";143758;27521;"1RC";1128.12;0.68;"B";6;11;32;67;1;"D";24;7
"246";143860;67670;"1RC";1128.12;1;"C";5;2;52;50;2;"D";72;13
"247";145452;24645;"1RC";1128.12;0.88;"A";8;4;42;50;6;"D";23;13
"248";145839;30220;"1RC";72.57;1;"B";7;14;48;50;1;"E";24;13
"249";146004;27964;"1RC";1128.12;1;"E";5;10;68;72;1;"E";11;6
"250";146028;26325;"1RC";1128.12;0.8;"B";6;6;31;60;5;"E";24;9
"251";146550;24626;"1RC";1128.12;1;"A";6;7;28;76;3;"D";24;5
"252";147314;80115;"1RC";442.51;1;"A";8;5;27;59;4;"E";52;13
"253";147422;90284;"1RC";1135.81;0.11;"A";8;9;41;54;13;"D";74;11
"254";147608;23033;"1RC";854.66;1;"E";6;7;30;57;3;"E";53;10
"255";147717;26798;"1RC";1220.45;0.21;"C";6;5;46;50;1;"D";52;13
"256";148774;91703;"1RC";62.22;0.12;"A";5;4;29;64;3;"D";24;8
"257";148961;30405;"1RC";1128.12;1;"C";5;5;53;50;5;"D";24;13
"258";150694;24966;"1RC";1128.12;1;"D";4;8;45;55;1;"E";52;13
"259";151144;26507;"1RC";706.12;1;"A";6;8;51;50;3;"D";24;13
"260";151160;82187;"1RC";892.3;0.28;"D";4;4;54;68;5;"E";24;7
"261";151556;90075;"1RC";1128.12;0.74;"A";9;1;44;50;3;"E";24;13
"262";151559;24120;"1RC";552.28;0.86;"E";7;5;60;56;5;"D";93;13
"263";153223;29967;"1RC";346.44;0.49;"E";5;14;28;95;1;"D";24;1
"264";153414;25051;"1RC";1128.12;1;"D";6;6;47;50;2;"D";52;13
"265";153933;48385;"1RC";1128.12;1;"C";5;17;33;63;3;"D";24;13
"266";154202;27702;"1RC";1827.2;0.4;"C";7;12;50;50;2;"D";24;13
"267";154374;77409;"1RC";1128.12;1;"E";7;2;55;53;2;"E";82;13
"268";154667;76558;"1RC";1128.12;1;"C";6;11;57;50;1;"D";53;13
"269";154831;26710;"1RC";779.42;0.63;"F";6;2;41;51;2;"E";11;12
"270";154842;59947;"1RC";84.33;0.48;"E";5;7;28;80;1;"E";53;4
"271";156000;27064;"1RC";102.14;0.94;"A";7;2;31;50;2;"E";26;13
"272";156035;49271;"1RC";25.59;0.59;"C";5;12;36;54;2;"D";93;11
"273";156090;28952;"1RC";1128.12;1;"A";7;1;34;62;1;"D";24;13
"274";156362;31875;"1RC";229.59;1;"D";4;8;68;50;2;"E";24;13
"275";157150;76524;"1RC";1128.12;1;"E";7;3;41;50;13;"D";53;13
"276";157178;28140;"1RC";194.4;0.75;"C";7;13;33;76;1;"E";54;5
"277";158346;98710;"1RC";807.45;1;"C";4;14;37;80;6;"E";82;4
"278";158437;73416;"1RC";1128.12;0.66;"A";7;9;26;100;2;"E";82;0
"279";158703;46156;"1RC";75.03;0.61;"C";5;10;30;72;5;"D";53;6
"280";158703;92679;"1RC";688.49;0.61;"C";5;10;30;72;5;"D";53;6
"281";158869;27801;"1RC";500.65;0.63;"A";7;10;33;50;6;"E";24;13
"282";159499;37368;"1RC";165.46;1;"D";6;12;40;72;5;"E";82;6
"283";159753;28063;"1RC";1128.12;1;"A";6;3;43;50;12;"D";54;13
"284";160346;86178;"1RC";1128.12;0.26;"A";6;15;40;50;2;"D";54;13
"285";160844;27243;"1RC";292.14;1;"D";7;2;35;85;1;"E";53;3
"286";160986;55992;"1RC";1128.12;1;"C";9;5;43;50;2;"E";82;13
"287";161011;34076;"1RC";1128.12;1;"E";5;8;69;55;2;"E";82;13
"288";161093;23639;"1RC";1388.42;1;"B";6;10;44;58;1;"D";82;13
"289";161414;23001;"1RC";1128.12;0.9;"E";4;13;28;85;1;"E";53;3
"290";162311;26480;"1RC";1128.12;1;"A";6;5;49;50;2;"D";24;13
"291";162896;60803;"1RC";1128.12;1;"C";5;6;36;63;5;"E";25;13
"292";163824;37756;"1RC";242.71;0.91;"C";7;10;61;58;2;"D";82;13
"293";164949;79461;"1RC";1128.12;0.98;"C";6;3;39;56;2;"D";22;13
"294";165836;55948;"1RC";2540.27;0.41;"E";5;5;31;106;1;"D";82;-1
"295";165930;57138;"1RC";25471.5;0.41;"E";7;2;27;76;10;"D";82;5
"296";165951;30692;"1RC";1128.12;1;"B";7;10;63;50;2;"E";24;13
"297";167732;28061;"1RC";1128.12;1;"C";7;2;47;50;1;"D";24;13
"298";167800;57193;"1RC";65.64;0.75;"A";6;5;33;50;2;"D";82;13
"299";168009;29321;"1RC";1194.59;0.44;"A";7;5;23;72;1;"D";24;6
"300";168239;27478;"1RC";1292.33;1;"C";10;20;70;55;10;"D";24;13
"301";169905;28780;"1RC";1128.12;1;"C";10;4;38;73;5;"E";24;5
"302";169974;24842;"1RC";438.41;1;"D";7;5;47;50;4;"D";52;13
"303";170173;25354;"1RC";1117.55;1;"E";10;11;49;112;2;"D";52;-1
"304";170437;99232;"1RC";31617.92;0.41;"C";10;4;66;50;2;"E";24;13
"305";171010;26868;"1RC";1128.12;1;"B";6;12;63;72;5;"E";53;6
"306";172751;93717;"1RC";607.37;1;"B";5;9;37;50;2;"E";25;13
"307";172755;23959;"1RC";1128.12;1;"C";5;10;31;80;2;"D";24;4
"308";172755;23978;"1RC";154.68;1;"C";5;10;31;80;2;"D";24;4
"309";174187;98056;"1RC";510.52;1;"D";4;16;31;63;5;"E";54;13
"310";174512;30372;"1RC";258.28;0.07;"D";5;9;33;60;5;"D";82;9
"311";175145;31452;"1RC";1128.12;1;"E";7;4;50;84;11;"D";72;3
"312";175684;64670;"1RC";627.21;0.02;"A";9;11;26;80;11;"E";24;4
"313";176163;73894;"1RC";1128.12;0.27;"D";8;14;50;65;10;"D";24;7
"314";177515;24030;"1RC";1128.12;1;"C";5;7;54;50;2;"D";24;13
"315";177671;98724;"1RC";688.26;0.85;"D";4;5;21;118;2;"E";82;-1
"316";177900;27127;"1RC";4047.64;1;"C";5;2;19;62;2;"D";53;13
"317";177984;61102;"1RC";1220.38;0.1;"C";4;7;48;55;2;"E";25;13
"318";178211;24828;"1RC";1128.12;0.51;"D";7;0;53;62;10;"D";53;13
"319";1002200;6055;"1RC";1128;0.53;"A";5;1;50;87;12;"D";52;2
"320";1002414;22248;"1RC";1700.91;0.71;"F";4;1;28;83;12;"E";11;3
"321";1002549;20157;"1RC";2256.24;0.28;"D";7;4;50;50;12;"E";82;13
"322";1004815;9773;"1RC";1128;0.64;"E";5;1;66;50;12;"E";11;13
"323";1005389;9806;"1RC";2678.99;0.54;"C";10;1;27;85;1;"D";82;3
"324";1005475;18318;"1RC";1202.51;0.45;"C";7;1;50;50;12;"D";91;13
"325";1007653;2581;"1RC";1128;0.61;"C";5;1;54;64;12;"E";93;8
"326";1007787;13060;"1RC";1128;0.38;"C";5;1;51;125;12;"E";82;-1
"327";1008456;708;"1RC";1128.12;0.69;"C";6;7;50;75;1;"E";11;5
"328";1009513;1972;"1RC";1128.12;0.78;"A";6;3;27;72;4;"D";22;6
"329";1011411;18551;"1RC";1128.12;1;"C";7;4;63;85;4;"E";11;3
"330";1011546;11543;"1RC";390.84;0.98;"F";6;2;55;50;12;"D";11;13
"331";1011785;8428;"1RC";564;0.92;"D";11;0;34;54;12;"D";73;11
