CRIM	ZN	INDUS	CHAS	NOX	RM	AGE	DIS	TAX	PTRATIO	B	LSTAT	MEDV
0.55778	0	21.89	0	0.624	6.335	98.2	2.1107	437	21.2	394.67	16.96	17.5214572211507
0.7258	0	8.14	0	0.538	5.727	69.5	3.7965	307	21	390.95	11.28	17.6016731144683
0.04301	80	1.91	0	0.413	5.663	21.9	10.5857	334	22	382.8	8.05	17.6456996186975
0.63796	0	8.14	0	0.538	6.096	84.5	4.4619	307	21	380.02	10.26	17.7018079538153
0.26838	0	9.69	0	0.585	5.794	70.6	2.8927	391	19.2	396.9	14.1	17.7364865521146
0.17134	0	10.01	0	0.547	5.928	88.2	2.4631	432	17.8	344.91	15.76	17.7765707591003
0.77299	0	8.14	0	0.538	6.495	94.4	4.4547	307	21	387.94	12.8	17.7833205428642
0.32982	0	21.89	0	0.624	5.822	95.4	2.4699	437	21.2	388.69	15.03	17.7868658892656
5.66637	0	18.1	0	0.74	6.219	100	2.0048	666	20.2	395.69	16.59	17.8755340843616
0.28392	0	7.38	0	0.493	5.708	74.3	4.7211	287	19.6	391.13	11.74	17.8812278530771
0.19133	22	5.86	0	0.431	5.605	70.2	7.9549	330	19.1	389.13	18.46	17.8864535675343
0.14231	0	10.01	0	0.547	6.254	84.2	2.2565	432	17.8	388.74	10.45	17.954755058605
0.03041	0	5.19	0	0.515	5.895	59.6	5.615	224	20.2	394.81	10.56	17.9668013752557
0.22876	0	8.56	0	0.52	6.405	85.4	2.7147	384	20.9	70.8	10.63	18.0642314825905
0.07244	60	1.69	0	0.411	5.884	18.5	10.7103	411	18.3	392.33	7.79	18.0743191171803
0.14932	25	5.13	0	0.453	5.741	66.2	7.2254	284	19.7	395.11	13.15	18.0946858029465
0.22212	0	10.01	0	0.547	6.092	95.4	2.548	432	17.8	396.9	17.09	18.1030159481401
0.06417	0	5.96	0	0.499	5.933	68.2	3.3603	279	19.2	396.9	9.68	18.1048035721093
0.0136	75	4	0	0.41	5.888	47.6	7.3197	469	21.1	396.9	14.8	18.1328947107506
3.77498	0	18.1	0	0.655	5.952	84.7	2.8715	666	20.2	22.01	17.15	18.1770552860617
0.05497	0	5.19	0	0.515	5.985	45.4	4.8122	224	20.2	396.9	9.74	18.2086131858405
5.5757	0	18.1	0	0.58	5.926	71	2.9084	666	20.2	368.74	18.13	18.2756424257497
2.3139	0	19.58	0	0.605	5.88	97.3	2.3887	403	14.7	348.13	12.03	18.2918856823675
4.42228	0	18.1	0	0.584	6.003	94.5	2.5403	666	20.2	331.29	21.32	18.4268811339085
5.69175	0	18.1	0	0.583	6.114	79.8	3.5459	666	20.2	392.68	14.98	18.4496833523124
0.34006	0	21.89	0	0.624	6.458	98.9	2.1185	437	21.2	395.04	12.6	18.4540300593022
0.15098	0	10.01	0	0.547	6.021	82.6	2.7474	432	17.8	394.51	10.3	18.4565276036909
0.06617	0	3.24	0	0.46	5.868	25.8	5.2146	430	16.9	382.44	9.97	18.4770838513074
0.21161	0	8.56	0	0.52	6.137	87.4	2.7147	384	20.9	394.47	13.44	18.4940539284715
0.37578	0	10.59	1	0.489	5.404	88.6	3.665	277	18.6	395.24	23.98	18.5693993925592
0.17142	0	6.91	0	0.448	5.682	33.8	5.1004	233	17.9	396.9	10.21	18.5728565078509
0.14476	0	10.01	0	0.547	5.731	65.2	2.7592	432	17.8	391.5	13.61	18.6187942574987
0.04379	80	3.37	0	0.398	5.787	31.1	6.6115	337	16.1	396.9	10.24	18.6364431321307
0.21977	0	6.91	0	0.448	5.602	62	6.0877	233	17.9	396.9	16.2	18.66996675103
0.26363	0	8.56	0	0.52	6.229	91.2	2.5451	384	20.9	391.23	15.55	18.7578586607319
1.49632	0	19.58	0	0.871	5.404	100	1.5916	403	14.7	341.6	13.28	18.8738345837101
4.03841	0	18.1	0	0.532	6.229	90.7	3.0993	666	20.2	395.33	12.87	18.9007464809524
0.08873	21	5.64	0	0.439	5.963	45.7	6.8147	243	16.8	395.56	13.45	18.9796849735481
0.2896	0	9.69	0	0.585	5.39	72.9	2.7986	391	19.2	396.9	21.14	18.9803065467639
0.24522	0	9.9	0	0.544	5.782	71.7	4.0317	304	18.4	396.9	15.94	18.9867743096271
0.04544	0	3.24	0	0.46	6.144	32.2	5.8736	430	16.9	368.57	9.09	18.9889229608437
0.12802	0	8.56	0	0.52	6.474	97.1	2.4329	384	20.9	395.24	12.27	18.9922695806952
0.62739	0	8.14	0	0.538	5.834	56.5	4.4986	307	21	395.62	8.47	18.9996286352807
3.83684	0	18.1	0	0.77	6.251	91.1	2.2955	666	20.2	350.65	14.19	19.0938287189079
3.1636	0	18.1	0	0.655	5.759	48.2	3.0665	666	20.2	334.4	14.13	19.1299991440895
4.34879	0	18.1	0	0.58	6.167	84	3.0334	666	20.2	396.9	16.29	19.2156658710436
0.09744	0	5.96	0	0.499	5.841	61.4	3.3779	279	19.2	377.56	11.41	19.265702323189
0.18836	0	6.91	0	0.448	5.786	33.3	5.1004	233	17.9	396.9	14.15	19.3111631895386
0.43571	0	10.59	1	0.489	5.344	100	3.875	277	18.6	396.9	23.09	19.3120221874477
6.80117	0	18.1	0	0.713	6.081	84.4	2.7175	666	20.2	396.9	14.7	19.3156436031459
0.10153	0	12.83	0	0.437	6.279	74.5	4.0522	398	18.7	373.66	11.97	19.3509763373632
0.10612	30	4.93	0	0.428	6.095	65.1	6.3361	300	16.6	394.62	12.4	19.3709544028027
0.1396	0	8.56	0	0.52	6.167	90	2.421	384	20.9	392.69	12.33	19.3715970284576
0.01965	80	1.76	0	0.385	6.23	31.5	9.0892	241	18.2	341.6	12.93	19.4042572530111
3.0751	0	18.1	0	0.58	5.713	56.7	2.8237	666	20.2	396.9	14.76	19.4052568749923
0.11132	0	27.74	0	0.609	5.983	83.5	2.1099	711	20.1	396.9	13.35	19.4530957716652
5.82115	0	18.1	0	0.713	6.513	89.9	2.8016	666	20.2	393.82	10.29	19.4566423591609
0.80271	0	8.14	0	0.538	5.456	36.6	3.7965	307	21	288.99	11.69	19.4693424255165
0.3494	0	9.9	0	0.544	5.972	76.7	3.1025	304	18.4	396.24	9.97	19.5555407446439
0.08387	0	12.83	0	0.437	5.874	36.6	4.5026	398	18.7	396.06	9.1	19.5751117169401
0.14103	0	13.92	0	0.437	5.79	58	6.32	289	16	396.9	15.84	19.6133923604352
0.07165	0	25.65	0	0.581	6.004	84.1	2.1974	188	19.1	377.67	14.27	19.6172797979182
0.62976	0	8.14	0	0.538	5.949	61.8	4.7075	307	21	396.9	8.26	19.6200919386959
0.13058	0	10.01	0	0.547	5.872	73.1	2.4775	432	17.8	338.63	15.37	19.6435040308828
0.13117	0	8.56	0	0.52	6.127	85.2	2.1224	384	20.9	387.69	14.09	19.6487736840844
0.35114	0	7.38	0	0.493	6.041	49.9	4.7211	287	19.6	396.9	7.7	19.6574667154119
0.19657	22	5.86	0	0.431	6.226	79.2	8.0555	330	19.1	376.14	10.15	19.6880329126369
0.04337	21	5.64	0	0.439	6.115	63	6.8147	243	16.8	393.97	9.43	19.7106190411923
0.09299	0	25.65	0	0.581	5.961	92.9	2.0869	188	19.1	378.09	17.93	19.7995549068676
4.83567	0	18.1	0	0.583	5.905	53.2	3.1523	666	20.2	388.22	11.45	19.8335724229564
0.04294	28	15.04	0	0.464	6.249	77.3	3.615	270	18.2	396.9	10.59	19.8564857504866
2.37857	0	18.1	0	0.583	5.871	41.9	3.724	666	20.2	370.73	13.34	19.8575190239047
0.03306	0	5.19	0	0.515	6.059	37.3	4.8122	224	20.2	396.14	8.51	19.8836043418036
0.10659	80	1.91	0	0.413	5.936	19.5	10.5857	334	22	376.04	5.57	19.9388372043584
0.04527	0	11.93	0	0.573	6.12	76.7	2.2875	273	21	396.9	9.08	19.940612102463
0.03738	0	5.19	0	0.515	6.31	38.5	6.4584	224	20.2	389.4	6.75	19.9906737890891
0.09065	20	6.96	1	0.464	5.92	61.5	3.9175	223	18.6	391.34	13.65	20.0184911663934
3.67822	0	18.1	0	0.77	5.362	96.2	2.1036	666	20.2	380.79	10.19	20.0401224043023
0.08707	0	12.83	0	0.437	6.14	45.8	4.0905	398	18.7	386.96	10.27	20.0712150598726
2.0482	0	18.1	0	0.614	5.648	87.6	1.9512	666	20.2	291.55	14.1	20.1231393214376
0.12816	12.5	6.07	0	0.409	5.885	33	6.498	345	18.9	396.9	8.79	20.1891644472698
0.03548	80	3.64	0	0.392	5.876	19.1	9.2203	315	16.4	395.18	9.25	20.2286442102769
0.47547	0	9.9	0	0.544	6.113	58.8	4.0019	304	18.4	396.23	12.73	20.2779650625417
0.08014	0	5.96	0	0.499	5.85	41.5	3.9342	279	19.2	396.9	8.77	20.2791857909172
1.00245	0	8.14	0	0.538	6.674	87.3	4.239	307	21	380.23	11.98	20.3569057473718
0.29916	20	6.96	0	0.464	5.856	42.1	4.429	223	18.6	388.65	13	20.3927972565628
0.03961	0	5.19	0	0.515	6.037	34.5	5.9853	224	20.2	396.9	8.01	20.3965565369349
0.13158	0	10.01	0	0.547	6.176	72.5	2.7301	432	17.8	393.3	12.04	20.4018415032008
0.05646	0	12.83	0	0.437	6.232	53.7	5.0141	398	18.7	386.4	12.34	20.4721049165486
0.23912	0	9.69	0	0.585	6.019	65.3	2.4091	391	19.2	396.9	12.92	20.4740211269349
0.12269	0	6.91	0	0.448	6.069	40	5.7209	233	17.9	389.39	9.55	20.51515504756
3.67367	0	18.1	0	0.583	6.312	51.9	3.9917	666	20.2	388.62	10.58	20.5463759329901
7.83932	0	18.1	0	0.655	6.209	65.4	2.9634	666	20.2	396.9	13.22	20.5639957225297
0.16902	0	25.65	0	0.581	5.986	88.4	1.9929	188	19.1	385.02	14.81	20.6298825607898
4.3337	0	18.1	0	0.614	6.229	88	1.9512	666	20.2	383.32	13.11	20.6709561954544
0.11504	0	2.89	0	0.445	6.163	69.6	3.4952	276	18	391.83	11.34	20.7012846170186
0.09512	0	12.83	0	0.437	6.286	45	4.5026	398	18.7	383.23	8.94	20.8118958580883
1.6566	0	19.58	0	0.871	6.122	97.3	1.618	403	14.7	372.8	14.1	20.8189852420012
0.11069	0	13.89	1	0.55	5.951	93.8	2.8893	276	16.4	396.9	17.92	20.9086330966915
0.02731	0	7.07	0	0.469	6.421	78.9	4.9671	242	17.8	396.9	9.14	20.908876852198
0.26938	0	9.9	0	0.544	6.266	82.8	3.2628	304	18.4	393.39	7.9	20.9383678088827
0.15876	0	10.81	0	0.413	5.961	17.5	5.2873	305	19.2	376.94	9.88	20.9790013563765
0.10793	0	8.56	0	0.52	6.195	54.4	2.7778	384	20.9	393.49	13	21.0194010719557
0.40771	0	6.2	1	0.507	6.164	91.3	3.048	307	17.4	395.24	21.46	21.1768549686209
0.17446	0	10.59	1	0.489	5.96	92.1	3.8771	277	18.6	393.25	17.27	21.1771253832552
3.8497	0	18.1	1	0.77	6.395	91	2.5052	666	20.2	391.34	13.27	21.2274205934131
0.08199	0	13.92	0	0.437	6.009	42.3	5.5027	289	16	396.9	10.4	21.2390856342002
0.09378	12.5	7.87	0	0.524	5.889	39	5.4509	311	15.2	390.5	15.71	21.3090579360063
0.17331	0	9.69	0	0.585	5.707	54	2.3817	391	19.2	396.9	12.01	21.3388891015742
2.81838	0	18.1	0	0.532	5.762	40.3	4.0983	666	20.2	392.92	10.42	21.3774988864148
3.47428	0	18.1	1	0.718	8.78	82.9	1.9047	666	20.2	354.55	5.29	21.5076813669171
0.04819	80	3.64	0	0.392	6.108	32	9.2203	315	16.4	392.89	6.57	21.5294926756056
3.69695	0	18.1	0	0.718	4.963	91.4	1.7523	666	20.2	316.03	14	21.5318729931362
0.11329	30	4.93	0	0.428	6.897	54.3	6.3361	300	16.6	391.25	11.38	21.5617043315953
0.05789	12.5	6.07	0	0.409	5.878	21.4	6.498	345	18.9	396.21	8.1	21.5857698125351
0.06899	0	25.65	0	0.581	5.87	69.7	2.2577	188	19.1	389.15	14.37	21.6767958619535
0.03932	0	3.41	0	0.489	6.405	73.9	3.0921	270	17.8	393.55	8.2	21.8199586138358
0.03537	34	6.09	0	0.433	6.59	40.4	5.4917	329	16.1	395.75	9.5	21.8286173612819
0.10959	0	11.93	0	0.573	6.794	89.3	2.3889	273	21	393.45	6.48	21.8885988289561
0.01096	55	2.25	0	0.389	6.453	31.9	7.3073	300	15.3	394.72	8.23	21.944205156294
0.79041	0	9.9	0	0.544	6.122	52.8	2.6403	304	18.4	396.9	5.98	21.9686253108626
0.07151	0	4.49	0	0.449	6.121	56.8	3.7476	247	18.5	395.15	8.44	21.9710571603004
0.24103	0	7.38	0	0.493	6.083	43.7	5.4159	287	19.6	396.9	12.79	22.0235640030465
0.1029	30	4.93	0	0.428	6.358	52.9	7.0355	300	16.6	372.75	11.22	22.0635691888692
0.11027	25	5.13	0	0.453	6.456	67.8	7.2255	284	19.7	396.9	6.73	22.0656069393312
0.05083	0	5.19	0	0.515	6.316	38.1	6.4584	224	20.2	389.71	5.68	22.1108631751237
0.0459	52.5	5.32	0	0.405	6.315	45.6	7.3172	293	16.6	396.9	7.6	22.1449704206106
2.44953	0	19.58	0	0.605	6.402	95.2	2.2625	403	14.7	330.04	11.32	22.1504475711426
0.06263	0	11.93	0	0.573	6.593	69.1	2.4786	273	21	391.99	9.67	22.2371254966645
0.21719	0	10.59	1	0.489	5.807	53.8	3.6526	277	18.6	390.94	16.03	22.2598518590551
0.06466	70	2.24	0	0.4	6.345	20.1	7.8278	358	14.8	368.24	4.97	22.2600110544619
0.25199	0	10.59	0	0.489	5.783	72.7	4.3549	277	18.6	389.43	18.06	22.2931943579974
0.05188	0	4.49	0	0.449	6.015	45.1	4.4272	247	18.5	395.99	12.86	22.3119375068595
0.13642	0	10.59	0	0.489	5.891	22.3	3.9454	277	18.6	396.9	10.87	22.3126254218737
0.08447	0	4.05	0	0.51	5.859	68.7	2.7019	296	16.6	393.23	9.64	22.3612203368572
0.06724	0	3.24	0	0.46	6.333	17.2	5.2146	430	16.9	375.21	7.34	22.37346569057
