"nocontrat";"exposition";"zone";"puissance";"agevehicule";"ageconducteur";"bonus";"marque";"carburant";"densite";"region";"nbre"
"42";1458;0.15;"E";4;0;25;85;12;"E";82;3;0
"43";1545;0.64;"D";10;0;58;50;12;"D";72;13;0
"44";1563;0.04;"C";9;0;70;50;12;"E";93;13;0
"45";1605;0.77;"E";5;0;55;50;12;"E";73;13;0
"46";1611;0.47;"F";4;0;64;67;12;"E";11;7;0
"47";1652;0.08;"C";4;0;44;50;12;"E";72;13;0
"48";1677;0.52;"B";5;0;43;50;12;"E";72;13;0
"49";1689;0.77;"B";4;1;70;50;12;"E";74;13;0
"50";1717;0.09;"C";8;0;54;50;12;"E";93;13;0
"51";1758;0.57;"B";4;5;59;50;2;"E";91;13;0
"52";1773;0.11;"A";9;0;63;50;12;"E";72;13;0
"53";1840;0.11;"E";5;0;26;100;12;"E";11;0;0
"54";1846;0.08;"D";7;0;27;100;12;"E";82;0;0
"55";1870;0.11;"C";5;0;52;50;12;"E";73;13;1
"56";1895;0.24;"E";4;0;22;95;12;"E";31;1;0
"57";1899;0.07;"E";7;5;33;50;12;"E";11;13;0
"58";1963;0.1;"E";9;0;78;50;12;"E";72;13;1
"59";1981;0.2;"D";5;0;39;50;12;"E";91;13;0
"60";2044;0.65;"A";4;0;37;51;12;"E";72;12;0
"61";2095;0.07;"B";4;0;44;50;12;"E";73;13;0
"62";2123;0.6;"D";4;0;25;95;12;"E";22;1;0
"63";2129;0.74;"F";9;0;30;72;12;"E";11;6;0
"64";2148;0.69;"D";4;0;73;50;12;"E";91;13;0
"65";2205;0.73;"F";5;0;49;77;12;"E";11;4;0
"66";2257;0.05;"C";7;0;38;50;12;"D";26;13;0
"67";2278;0.04;"D";5;0;45;50;12;"E";72;13;0
"68";2319;0.5;"D";6;5;34;68;12;"E";11;7;0
"69";2348;0.13;"C";4;0;38;64;12;"E";93;8;0
"70";2360;0.72;"E";7;0;65;60;12;"E";11;9;0
"71";2382;0.46;"E";4;8;69;50;4;"E";93;13;0
"72";2405;0.07;"D";6;0;26;76;12;"E";11;5;0
"73";2409;0.64;"B";5;0;41;50;12;"D";52;13;0
"74";2447;0.62;"E";6;3;39;54;12;"D";22;11;0
"75";2503;0.03;"E";7;0;31;64;12;"D";11;8;0
"76";2505;0.42;"E";7;0;31;64;12;"D";11;8;0
"77";2566;0.66;"F";5;0;34;50;12;"E";11;13;0
"78";2652;0.71;"E";6;6;36;51;1;"D";24;12;0
"79";2674;0.08;"B";6;0;65;50;12;"E";73;13;0
"80";2679;0.01;"E";5;0;48;50;12;"E";83;13;0
"81";2699;0.03;"D";7;0;36;100;12;"E";93;0;0
"82";2731;0.62;"E";5;0;30;57;12;"E";93;10;0
"83";2744;0.06;"C";8;0;27;85;11;"E";21;3;0
"84";2793;0.69;"D";5;4;60;100;1;"E";31;0;0
"85";2799;0.49;"E";4;0;68;50;12;"E";93;13;0
"86";2898;0.62;"F";6;0;27;100;12;"E";11;0;0
"87";3003;0.00273224043715847;"E";5;0;31;72;12;"E";93;6;0
"88";3034;0.59;"D";4;0;75;95;12;"E";91;1;0
"89";3043;0.71;"C";6;0;68;55;12;"D";91;13;0
"90";3054;0.5;"A";12;9;69;50;12;"E";73;13;0
"91";3057;0.09;"D";5;0;60;54;12;"E";93;11;0
"92";3092;0.6;"D";5;0;23;90;12;"E";91;2;0
"93";3093;0.07;"D";5;0;23;90;12;"E";91;2;0
"94";3100;0.08;"C";10;6;46;50;12;"E";93;13;0
"95";3136;0.75;"E";5;0;36;57;12;"E";82;10;0
"96";3166;0.56;"C";4;0;45;50;12;"E";91;13;0
"97";3219;0.38;"A";10;0;26;80;12;"D";74;4;0
"98";3293;0.14;"F";7;0;47;50;12;"D";11;13;0
"99";3325;0.85;"A";5;0;49;50;12;"E";23;13;0
"100";3337;0.23;"D";6;0;40;72;12;"E";11;6;0
"101";3353;0.81;"D";4;0;66;50;12;"E";91;13;0
"102";3374;0.07;"D";7;0;32;63;12;"D";11;13;0
"103";3405;0.93;"E";4;0;46;50;12;"E";53;13;0
"104";3434;0.93;"C";4;3;32;64;2;"E";31;8;0
"105";3477;0.09;"D";5;0;50;72;12;"E";41;6;0
"106";3488;0.75;"E";9;2;30;54;12;"E";11;11;0
"107";3493;0.78;"C";7;0;72;50;12;"E";93;13;0
"108";3520;0.92;"C";5;0;30;90;12;"E";91;2;0
"109";3541;0.75;"E";7;7;26;95;12;"E";53;1;0
"110";3575;0.18;"D";11;0;65;50;12;"D";93;13;0
"111";3591;0.85;"D";6;0;71;50;12;"E";93;13;0
"112";3596;0.02;"E";6;0;40;50;12;"D";21;13;0
"113";3619;0.77;"C";9;0;36;50;12;"E";93;13;0
"114";3649;0.9;"D";10;10;49;50;12;"D";91;13;0
"115";3689;0.03;"E";7;0;43;50;12;"E";93;13;0
"116";3694;0.19;"A";9;2;51;50;12;"E";72;13;0
"117";3721;0.72;"C";4;1;42;54;5;"E";82;11;0
"118";3743;0.85;"A";5;0;47;50;12;"E";82;13;0
"119";3787;0.08;"D";4;7;52;50;5;"E";94;13;0
"120";3994;0.83;"A";5;1;29;76;12;"E";53;5;0
"121";4005;0.16;"E";7;0;41;50;12;"D";82;13;0
"122";4010;0.74;"E";4;0;70;50;12;"E";11;13;0
"123";4035;0.06;"B";7;0;31;72;12;"E";31;6;0
"124";4080;0.45;"C";4;0;30;60;12;"E";11;9;0
"125";4095;0.29;"B";12;3;28;76;12;"D";11;5;0
"126";4107;0.61;"E";5;0;38;55;12;"E";93;13;0
"127";4131;0.01;"C";10;0;51;50;12;"D";93;13;0
"128";4139;0.58;"E";4;0;26;100;12;"E";31;0;0
"129";4155;0.44;"B";4;5;22;100;2;"D";31;0;0
"130";4199;0.07;"C";6;2;25;90;2;"D";73;2;0
"131";4249;0.09;"E";9;0;57;51;12;"E";93;12;0
"132";4256;0.12;"E";7;8;49;100;12;"E";52;0;0
"133";4263;0.65;"C";10;7;27;76;12;"D";52;5;1
"134";4287;0.65;"C";10;2;58;50;12;"E";72;13;0
"135";4349;0.61;"E";4;0;35;57;12;"E";11;10;0
"136";4391;0.32;"E";10;0;49;95;12;"D";11;1;0
"137";4426;0.06;"C";5;0;38;60;12;"E";11;9;0
"138";4440;0.45;"D";5;0;34;72;12;"E";93;6;0
"139";4451;0.13;"E";7;0;46;80;12;"D";11;4;0
"140";4471;0.18;"E";7;2;57;50;12;"E";11;13;0
"141";4476;0.63;"C";9;0;64;50;12;"E";82;13;0
"142";4523;0.56;"C";4;0;25;100;12;"E";82;0;0
"143";4527;0.04;"E";5;0;42;100;12;"E";11;0;0
"144";4561;0.11;"E";7;0;39;64;12;"E";93;8;0
"145";4578;0.56;"D";6;0;78;50;12;"E";91;13;0
"146";4610;0.00546448087431694;"D";4;0;46;50;12;"E";72;13;0
"147";4614;0.2;"D";4;0;46;50;12;"E";72;13;0
"148";4633;0.06;"A";6;0;59;50;12;"E";73;13;0
"149";4635;0.48;"C";5;0;25;72;12;"E";72;6;0
"150";4639;0.54;"E";7;0;43;54;12;"E";11;11;0
"151";4656;0.53;"B";5;0;24;76;12;"E";72;5;0
"152";4665;0.03;"B";7;1;37;63;4;"E";54;13;0
"153";4705;0.05;"C";8;2;53;50;12;"E";25;13;0
"154";4755;0.53;"A";4;0;56;50;12;"E";54;13;0
"155";4769;0.03;"C";6;3;41;68;12;"D";22;7;0
"156";4857;0.53;"C";7;5;33;74;5;"E";22;5;0
"157";4909;0.17;"E";10;10;26;72;12;"E";11;6;0
"158";4930;0.4;"F";9;0;28;100;12;"E";11;0;0
"159";4931;0.03;"F";9;0;28;100;12;"E";11;0;0
"160";4950;0.59;"B";13;8;43;50;12;"E";93;13;0
"161";4960;0.16;"A";5;0;54;50;12;"E";82;13;0
"162";4999;0.14;"D";4;0;31;57;12;"E";31;10;0
"163";5017;0.58;"D";7;5;41;51;12;"E";91;12;0
"164";5024;0.48;"A";5;0;37;57;12;"E";43;10;0
"165";5093;0.59;"A";5;0;44;50;12;"E";73;13;0
"166";5095;0.02;"D";5;0;31;50;12;"E";72;13;0
"167";5127;0.5;"C";9;0;54;50;12;"E";31;13;0
"168";5134;0.58;"D";7;0;48;50;12;"D";11;13;0
"169";5150;0.18;"D";9;0;23;80;12;"E";42;4;0
"170";5179;0.45;"E";4;0;34;50;12;"E";73;13;0
"171";5181;0.57;"D";5;2;26;100;12;"D";83;0;1
"172";5184;0.58;"F";5;7;43;50;2;"E";11;13;0
"173";5193;0.51;"A";6;0;54;50;12;"D";25;13;0
"174";5264;0.00546448087431694;"C";6;0;56;50;12;"E";53;13;0
"175";5276;0.47;"E";5;0;30;51;12;"E";11;12;0
"176";5295;0.5;"E";7;0;38;60;12;"D";11;9;0
"177";5318;0.13;"D";11;0;45;50;12;"D";11;13;0
"178";5375;0.29;"E";9;0;34;50;12;"E";11;13;0
"179";5379;0.1;"D";5;0;67;118;12;"E";73;-1;0
"180";5425;0.49;"C";4;0;37;57;12;"E";73;10;0
"181";5426;0.06;"C";4;0;37;57;12;"E";73;10;0
"182";5473;0.47;"B";6;0;36;60;12;"E";31;9;0
"183";5487;0.08;"C";6;0;51;65;12;"D";11;7;0
"184";5490;0.12;"E";6;0;53;50;12;"E";11;13;0
"185";5534;0.5;"E";5;0;71;50;12;"E";82;13;0
"186";5555;0.47;"B";5;0;43;50;12;"E";52;13;0
"187";5556;0.07;"B";5;0;43;50;12;"E";52;13;0
"188";5646;0.54;"E";8;0;25;84;12;"E";11;3;0
"189";5663;0.31;"F";9;0;62;50;12;"E";11;13;0
"190";5691;0.09;"A";4;0;53;50;12;"E";93;13;0
"191";5733;0.26;"C";5;7;40;53;1;"E";72;13;0
"192";5751;0.16;"C";4;0;31;60;12;"E";21;9;0
"193";5753;0.08;"A";10;0;30;85;12;"D";72;3;0
"194";5840;0.13;"C";11;6;35;56;2;"E";11;13;0
"195";5850;0.43;"C";6;0;49;50;12;"D";93;13;0
"196";5910;0.11;"D";4;0;41;90;12;"E";91;2;0
"197";5939;0.44;"B";7;5;40;50;12;"E";22;13;0
"198";5976;0.09;"E";7;0;39;100;12;"D";11;0;0
"199";6021;0.37;"A";4;1;54;50;12;"E";73;13;0
"200";6052;0.59;"D";7;0;49;50;12;"D";73;13;0
"201";6068;0.07;"C";4;0;32;60;12;"E";94;9;0
"202";6087;0.07;"C";7;0;35;80;12;"D";93;4;0
"203";6185;0.09;"C";6;0;34;100;12;"E";91;0;0
"204";6202;0.32;"F";4;0;40;50;12;"E";11;13;0
"205";6229;0.13;"E";4;1;24;80;3;"D";53;4;0
"206";6239;0.11;"D";4;0;37;57;12;"E";91;10;0
"207";6259;0.09;"F";5;0;44;64;12;"E";11;8;0
"208";6261;0.08;"E";10;0;31;64;12;"D";11;8;0
"209";6282;0.34;"B";7;0;47;100;12;"D";11;0;0
"210";6286;0.00819672131147541;"A";5;0;51;50;12;"E";93;13;0
"211";6287;0.39;"A";5;0;51;50;12;"E";93;13;0
"212";6375;0.47;"B";7;4;46;50;6;"E";11;13;1
"213";6381;0.07;"B";4;0;64;68;12;"E";93;7;0
"214";6483;0.24;"B";9;0;55;52;12;"E";93;13;0
"215";6490;0.03;"C";7;2;44;50;12;"E";72;13;0
"216";6505;0.41;"D";5;0;35;95;12;"E";73;1;0
"217";6510;0.07;"D";5;0;26;85;12;"E";31;3;0
"218";6618;0.41;"F";6;0;40;50;12;"E";11;13;0
"219";6638;0.1;"F";4;0;29;60;12;"E";11;9;0
"220";6666;0.04;"E";10;0;30;64;12;"E";11;8;0
"221";6670;0.45;"D";5;15;25;95;1;"E";93;1;0
"222";6703;0.05;"E";6;0;32;54;12;"E";11;11;0
"223";6826;0.28;"F";4;0;46;60;12;"E";11;9;0
"224";6841;0.05;"C";5;0;27;100;12;"D";41;0;0
"225";6844;0.37;"A";11;0;57;50;12;"D";74;13;0
"226";6882;0.35;"C";4;0;35;60;12;"E";82;9;0
"227";6892;0.41;"D";7;9;66;56;1;"E";93;13;0
"228";6945;0.43;"B";7;0;60;50;12;"D";73;13;0
"229";6955;0.00273224043715847;"B";10;10;27;76;12;"D";93;5;0
"230";6958;0.04;"B";10;10;27;76;12;"D";93;5;0
"231";6961;0.35;"C";6;0;78;50;12;"E";73;13;0
"232";6988;0.06;"C";7;0;36;50;12;"D";82;13;0
"233";7002;0.43;"C";5;0;51;50;12;"E";91;13;0
"234";7013;0.07;"E";6;2;26;100;12;"E";82;0;0
"235";7026;0.02;"E";9;0;45;72;12;"E";11;6;0
"236";7080;0.31;"D";11;0;43;60;12;"D";72;9;0
"237";7127;0.34;"F";6;0;35;51;12;"E";11;12;0
"238";7134;0.42;"E";5;0;49;54;12;"E";11;11;0
"239";7160;0.00819672131147541;"C";5;0;72;50;12;"E";93;13;0
"240";7210;0.08;"C";11;8;37;54;1;"D";22;11;0
"241";7211;0.33;"C";6;6;37;54;3;"D";22;11;0
"242";7249;0.4;"E";11;10;63;58;11;"E";93;13;0
"243";7306;0.38;"D";6;6;21;95;3;"D";22;1;0
"244";7324;0.4;"C";6;8;40;57;2;"D";72;10;0
"245";7337;0.31;"E";6;0;30;68;12;"E";11;7;0
"246";7356;0.34;"C";10;2;65;50;12;"D";25;13;0
"247";7361;0.29;"A";10;0;38;76;12;"D";83;5;0
"248";7373;0.28;"E";6;0;47;50;12;"E";93;13;0
"249";7388;0.1;"E";6;2;22;85;3;"E";21;3;0
"250";7474;0.38;"D";4;9;25;80;5;"E";25;4;0
"251";7498;0.26;"A";4;0;54;50;12;"E";25;13;0
"252";7505;0.33;"B";4;0;53;50;12;"E";52;13;0
"253";7508;0.02;"C";6;0;54;50;12;"E";91;13;0
"254";7548;0.14;"E";5;10;50;50;12;"E";23;13;0
"255";7569;0.08;"B";5;0;30;90;12;"E";82;2;0
"256";7600;0.23;"C";11;3;28;90;12;"E";82;2;0
"257";7624;0.04;"A";6;0;46;67;12;"E";91;7;0
"258";7629;0.07;"C";4;1;57;52;12;"E";11;13;0
"259";7652;0.35;"E";6;0;73;58;12;"E";93;13;1
"260";7673;0.3;"A";12;6;24;80;12;"D";25;4;0
"261";7685;0.02;"C";5;0;52;50;12;"E";73;13;0
"262";7796;0.02;"E";5;0;27;85;12;"E";11;3;0
"263";7849;0.07;"B";5;0;52;50;12;"E";73;13;0
"264";7869;0.05;"C";7;0;28;86;12;"D";91;2;0
"265";7879;0.08;"C";4;0;36;50;12;"E";82;13;0
"266";7890;0.18;"A";10;8;28;80;13;"D";26;4;0
"267";7925;0.07;"E";6;3;45;50;12;"E";22;13;0
"268";7937;0.28;"D";7;0;43;68;12;"D";11;7;0
"269";7991;0.06;"C";6;0;49;50;12;"E";91;13;0
"270";8029;0.2;"B";10;7;49;50;13;"D";72;13;0
"271";8118;0.09;"F";5;0;31;80;12;"E";11;4;0
"272";8131;0.31;"C";6;1;32;54;12;"D";82;11;0
"273";8161;0.23;"E";4;0;39;50;12;"E";11;13;0
"274";8211;0.3;"D";6;2;53;100;5;"E";93;0;0
"275";8276;0.29;"E";8;0;49;50;6;"E";93;13;0
"276";8278;0.14;"B";6;0;49;50;12;"E";93;13;0
"277";8289;0.18;"B";4;0;22;95;12;"E";82;1;0
"278";8291;0.24;"D";5;0;69;50;12;"E";11;13;0
"279";8311;0.29;"E";6;0;56;100;12;"E";11;0;0
"280";8436;0.19;"E";7;0;75;85;12;"E";93;3;0
"281";8517;0.27;"D";9;0;30;69;12;"D";82;6;0
"282";8528;0.06;"C";5;0;54;50;12;"E";26;13;0
"283";8543;0.17;"D";10;0;45;50;12;"E";52;13;0
"284";8574;0.27;"C";7;3;26;76;12;"E";91;5;0
"285";8628;0.00273224043715847;"D";10;0;40;75;12;"E";11;5;0
"286";8629;0.26;"D";10;0;40;75;12;"E";11;5;0
"287";8731;0.04;"C";7;8;47;58;12;"E";52;13;0
"288";8758;0.14;"D";9;15;51;50;12;"D";93;13;0
"289";8797;0.25;"D";6;6;33;90;12;"D";93;2;0
"290";8831;0.19;"B";5;0;46;50;12;"E";94;13;0
"291";8840;0.18;"C";5;0;36;51;12;"E";22;12;0
"292";8850;0.1;"E";4;0;22;100;12;"E";31;0;0
"293";8954;0.23;"A";7;0;61;50;12;"D";93;13;0
"294";8996;0.16;"E";4;0;44;50;12;"E";82;13;0
"295";9018;0.23;"C";9;2;43;50;4;"E";11;13;0
"296";9110;0.06;"E";4;0;29;100;12;"E";11;0;0
"297";9125;0.22;"C";11;6;25;68;1;"D";91;7;0
"298";9170;0.22;"C";6;9;22;85;1;"D";91;3;0
"299";9179;0.22;"A";4;9;51;100;13;"E";93;0;0
"300";9208;0.11;"B";6;0;70;50;12;"E";82;13;0
"301";9213;0.22;"C";4;5;58;50;2;"E";93;13;0
"302";9240;0.07;"C";13;3;36;50;12;"E";93;13;0
"303";9265;0.19;"D";6;3;58;100;12;"E";82;0;0
"304";9356;0.09;"E";7;0;63;50;12;"E";93;13;0
"305";9436;0.15;"B";4;0;72;50;12;"E";93;13;0
"306";9441;0.19;"B";5;2;49;50;2;"E";72;13;0
"307";9491;0.19;"C";6;2;32;64;12;"D";91;8;0
"308";9501;0.19;"C";4;0;51;50;12;"E";54;13;1
"309";9532;0.08;"D";10;1;46;50;12;"D";11;13;0
"310";9567;0.19;"C";5;8;23;80;2;"E";91;4;0
"311";9652;0.07;"E";10;0;56;50;12;"E";93;13;0
"312";9693;0.15;"C";7;0;41;50;12;"D";11;13;0
"313";9699;0.18;"D";8;0;27;76;12;"E";93;5;0
"314";9760;0.16;"B";10;0;63;50;12;"D";52;13;0
"315";9804;0.16;"B";4;0;27;72;12;"E";72;6;0
"316";9830;0.15;"C";10;4;26;66;12;"D";22;7;0
"317";9963;0.14;"C";7;0;41;100;12;"E";91;0;0
"318";9972;0.06;"D";5;0;52;50;12;"E";82;13;0
"319";10104;0.12;"E";10;0;38;64;12;"E";11;8;0
"320";10119;0.01;"E";7;0;49;50;12;"E";11;13;0
"321";10134;0.07;"D";6;5;36;72;6;"D";74;6;0
"322";10164;0.12;"D";5;0;37;52;12;"E";21;13;0
"323";10168;0.04;"D";5;0;48;50;12;"E";91;13;0
"324";10299;0.03;"E";7;0;57;50;12;"D";11;13;0
"325";10322;0.04;"E";5;0;42;50;12;"E";11;13;0
"326";10330;0.1;"F";5;0;71;50;12;"E";11;13;0
"327";10352;0.1;"D";5;0;40;50;12;"E";53;13;0
"328";10387;0.1;"E";6;0;72;50;12;"E";93;13;0
"329";10390;0.1;"B";12;4;43;50;12;"D";82;13;0
"330";10478;0.09;"E";4;8;24;100;4;"D";82;0;0
"331";10492;0.09;"C";4;0;54;106;12;"E";31;-1;0
"332";10517;0.04;"E";5;0;64;50;12;"E";11;13;0
"333";10653;0.07;"D";11;0;35;59;12;"D";31;13;0
"334";10680;0.07;"D";7;0;40;50;12;"D";52;13;0
"335";10751;0.06;"E";7;0;53;50;12;"D";11;13;0
"336";10835;0.05;"B";6;0;37;50;12;"E";73;13;0
"337";10861;0.05;"D";5;0;43;50;12;"E";93;13;0
"338";10877;0.05;"C";10;6;35;85;12;"E";93;3;0
"339";10882;0.04;"C";10;0;52;50;12;"D";42;13;0
"340";10900;0.11;"A";10;0;45;50;12;"D";52;13;0
"341";10983;0.04;"D";7;0;34;50;12;"D";93;13;0
"342";10992;0.01;"D";5;8;45;50;3;"E";11;13;0
"343";11021;0.04;"A";5;0;45;50;12;"E";93;13;0
"344";11028;0.04;"E";15;0;59;52;12;"E";93;13;0
"345";11119;0.03;"D";6;10;27;100;12;"E";93;0;0
"346";11128;0.03;"E";5;0;21;95;12;"E";72;1;0
"347";11164;0.03;"F";5;0;45;50;12;"E";11;13;0
"348";11167;0.03;"B";7;0;62;50;12;"E";72;13;0
"349";11174;0.05;"C";7;0;27;81;12;"E";22;3;0
"350";11187;0.03;"E";10;9;24;80;12;"E";11;4;0
"351";11197;0.03;"D";4;0;51;82;12;"E";82;3;0
"352";11229;0.03;"D";4;0;35;72;12;"E";93;6;0
"353";11233;0.03;"E";7;0;62;50;12;"E";72;13;0
"354";11268;0.02;"D";4;0;25;95;12;"E";93;1;0
"355";11343;0.02;"A";7;3;53;50;12;"E";82;13;0
"356";11450;0.00819672131147541;"C";5;1;40;50;12;"E";93;13;0
"357";11572;0.19;"E";6;0;43;50;12;"E";11;13;0
"358";11696;0.04;"D";5;0;47;50;12;"E";11;13;0
"359";16642;1;"B";8;7;55;50;1;"D";24;13;0
"360";16659;0.95;"F";5;3;53;54;2;"D";11;11;0
"361";16709;0.66;"A";6;7;55;50;2;"D";26;13;0
"362";16715;0.4;"C";5;4;42;58;1;"E";23;13;0
"363";16723;0.21;"C";8;0;49;62;2;"D";24;13;0
"364";16734;1;"C";6;4;80;50;2;"D";53;13;0
"365";16746;0.87;"C";5;1;44;50;5;"D";24;13;0
"366";16813;1;"B";5;7;75;50;1;"E";24;13;0
"367";16815;0.75;"D";7;5;72;50;1;"E";52;13;0
"368";16858;1;"A";6;3;68;50;2;"D";24;13;0
"369";16907;0.57;"A";6;11;62;50;3;"D";24;13;0
"370";16926;0.03;"C";5;0;62;50;2;"E";24;13;0
"371";16958;0.13;"C";6;1;48;64;2;"E";24;8;0
"372";16985;0.35;"C";8;9;45;62;14;"D";82;13;1
"373";17021;1;"B";6;12;52;55;1;"D";24;13;0
"374";17025;1;"E";4;6;37;50;5;"E";24;13;0
"375";17027;1;"A";7;12;44;50;5;"D";24;13;0
"376";17037;1;"C";7;7;63;50;2;"D";25;13;0
"377";17058;1;"B";7;12;54;50;1;"E";25;13;0
"378";17104;1;"A";5;11;72;50;2;"E";24;13;0
"379";17125;1;"A";8;7;65;62;3;"E";24;13;1
"380";17131;1;"B";7;13;66;50;2;"D";24;13;0
"381";17142;1;"A";4;10;74;50;1;"E";24;13;0
"382";17153;1;"C";5;8;68;50;2;"E";24;13;0
"383";17157;1;"B";4;5;76;50;2;"D";24;13;0
"384";17215;1;"C";7;5;64;50;2;"E";24;13;0
"385";17225;0.74;"C";6;8;62;50;1;"D";82;13;0
"386";17236;1;"C";6;12;53;50;1;"D";53;13;0
"387";17238;1;"B";7;13;72;50;2;"D";24;13;0
"388";17342;1;"B";4;7;80;50;2;"E";24;13;0
"389";17416;0.3;"C";7;4;48;50;1;"D";53;13;0
"390";17432;1;"A";5;6;75;50;5;"E";25;13;0
"391";17470;0.5;"C";5;0;44;62;2;"D";24;13;0
"392";17479;1;"D";7;11;69;50;11;"E";24;13;0
"393";17517;0.56;"B";5;1;48;50;2;"D";24;13;0
"394";17565;1;"C";5;8;80;50;2;"E";24;13;0
"395";17575;1;"B";7;4;47;50;2;"D";24;13;0
"396";17596;1;"C";6;13;64;50;1;"D";24;13;0
"397";17606;0.00546448087431694;"C";4;0;49;50;1;"E";25;13;0
"398";17612;0.75;"E";6;1;66;50;1;"D";24;13;0
"399";17631;1;"A";7;22;81;50;2;"E";24;13;0
"400";17651;0.41;"C";6;2;50;50;3;"D";24;13;0
"401";17667;1;"A";4;13;72;50;2;"E";24;13;0
"402";17672;0.83;"A";6;5;63;50;2;"D";24;13;0
"403";17726;0.7;"C";11;12;54;50;2;"E";24;13;0
"404";17743;0.16;"C";7;6;57;50;1;"E";24;13;0
"405";17795;1;"A";7;2;41;50;1;"E";24;13;0
"406";17827;1;"C";7;5;48;50;1;"E";82;13;0
"407";17855;1;"A";4;15;43;50;1;"E";25;13;0
"408";18024;1;"B";5;5;81;50;1;"E";24;13;0
"409";18045;1;"C";6;3;75;50;3;"D";53;13;0
"410";18051;1;"D";7;8;65;50;1;"E";24;13;0
"411";18088;1;"C";6;13;63;50;4;"E";53;13;0
"412";18099;1;"D";7;9;70;50;2;"E";24;13;0
"413";18108;1;"C";7;1;44;50;6;"E";26;13;0
"414";18113;0.06;"A";5;0;69;58;1;"E";24;13;0
"415";18134;1;"A";15;1;73;50;10;"E";24;13;1
"416";18159;1;"A";7;2;75;50;2;"E";24;13;0
"417";18207;1;"C";7;5;56;50;2;"E";82;13;0
"418";18242;1;"B";7;9;50;50;2;"E";52;13;0
"419";18249;1;"B";6;1;70;50;1;"E";52;13;0
"420";18307;1;"A";4;18;72;50;1;"E";24;13;0
"421";18319;1;"D";7;6;45;50;1;"E";52;13;0
"422";18358;0.4;"A";5;0;60;50;1;"D";24;13;0
"423";18360;1;"E";5;19;56;50;1;"E";53;13;0
"424";18386;0.1;"A";6;3;41;50;1;"E";24;13;0
"425";18395;1;"A";5;6;80;50;1;"E";24;13;0
"426";18417;0.5;"B";5;5;53;50;1;"E";53;13;1
"427";18464;1;"D";7;14;63;50;1;"E";24;13;1
"428";18508;1;"A";5;7;65;50;1;"E";24;13;0
"429";18563;0.38;"A";4;2;52;50;2;"E";91;13;0
"430";18629;1;"A";7;4;71;50;1;"E";24;13;0
"431";18632;0.00819672131147541;"E";6;2;51;50;3;"D";52;13;0
"432";18684;0.49;"D";4;13;73;50;6;"E";24;13;0
"433";18697;0.43;"C";4;12;73;50;1;"E";54;13;0
"434";18752;0.51;"C";5;10;46;50;2;"E";53;13;0
"435";18755;0.19;"A";5;6;40;50;5;"D";24;13;0
