"DriverAge";"LicenceAge";"VehAge";"Exposure";"ClaimNumber"
"57";44;18;5;1211.969884;139
"58";34;18;4;1228.810404;138
"59";37;18;0;1308.780287;138
"60";38;18;7;1251.953457;138
"61";44;18;1;1312.706366;138
"62";25;18;4;994.7871321;137
"63";30;18;2;966.9103354;136
"64";32;18;6;1192.862423;136
"65";35;18;7;1195.438741;136
"66";25;18;3;966.8528405;135
"67";25;18;7;999.3100616;135
"68";26;18;5;1108.410678;135
"69";39;18;5;1224.876112;135
"70";41;18;4;1280.525667;135
"71";42;18;4;1276.005476;135
"72";43;18;2;1383.008898;135
"73";29;18;6;1170.502396;134
"74";30;18;5;1107.956194;134
"75";33;18;2;1088.347707;134
"76";37;18;2;1270.360027;134
"77";25;18;5;976.0602327;133
"78";27;18;5;1151.88501;133
"79";33;18;5;1117.686516;133
"80";41;18;7;1231.997262;133
"81";45;18;3;1269.24846;133
"82";26;18;3;1007.416838;132
"83";29;18;4;1115.271732;132
"84";33;18;3;1141.771389;132
"85";36;18;0;1337.423682;132
"86";36;18;4;1264.386037;132
"87";36;18;6;1284.238193;132
"88";45;18;1;1217.533196;132
"89";33;18;6;1196.616016;131
"90";34;18;6;1181.585216;131
"91";43;18;3;1315.446954;131
"92";26;18;7;1062.425736;130
"93";31;18;1;931.3921971;130
"94";31;18;6;1155.329227;130
"95";32;18;5;1120.243669;130
"96";37;18;5;1198.080767;130
"97";42;18;5;1319.066393;130
"98";42;18;7;1279.271732;129
"99";31;18;4;1125.815195;128
"100";33;18;4;1097.065024;128
"101";35;18;0;1247.561944;128
"102";37;18;7;1183.457906;128
"103";38;18;5;1232.963723;128
"104";39;18;1;1314.926762;128
"105";39;18;7;1178.579055;128
"106";34;18;2;1164.43258;127
"107";28;18;4;1134.872005;126
"108";35;18;6;1237.768652;126
"109";38;18;6;1312.854209;126
"110";39;18;0;1340.933607;126
"111";39;18;6;1330.475017;126
"112";45;18;0;1284.375086;126
"113";32;18;1;927.6741958;125
"114";36;18;5;1253.71937;125
"115";38;18;0;1321.952088;125
"116";43;18;6;1361.921971;125
"117";45;18;2;1227.523614;125
"118";46;18;3;1220.856947;125
"119";31;18;5;1061.982204;124
"120";44;18;4;1230.299795;124
"121";25;18;6;1081.199179;123
"122";43;18;4;1332.640657;123
"123";43;18;8;1208.117728;123
"124";33;18;1;1020.892539;122
"125";44;18;2;1292.791239;122
"126";44;18;7;1277.048597;122
"127";28;18;3;1086.176591;121
"128";37;18;8;1134.121834;121
"129";47;18;1;1077.864476;121
"130";31;18;2;982.844627;120
"131";42;18;8;1176.980151;120
"132";48;18;3;941.9383984;120
"133";39;18;4;1257.708419;119
"134";44;18;6;1289.355236;119
"135";46;18;7;1123.008898;119
"136";26;18;2;837.6673511;118
"137";27;18;8;1022.08898;118
"138";35;18;1;1197.075975;118
"139";37;18;4;1208.490075;118
"140";40;18;8;1131.088296;118
"141";43;18;7;1294.696783;118
"142";32;18;2;1011.767283;117
"143";33;18;7;1082.924025;117
"144";40;18;6;1275.392197;117
"145";40;18;7;1211.852156;117
"146";45;18;8;1102.795346;117
"147";31;18;7;1112.167009;116
"148";34;18;0;1117.842574;116
"149";44;18;0;1461.037645;116
"150";46;18;1;1127.457906;116
"151";26;18;6;1153.489391;115
"152";32;18;7;1023.945243;115
"153";29;18;8;944.5585216;114
"154";34;18;1;1057.935661;114
"155";34;18;7;1119.156742;114
"156";34;18;8;1091.307324;114
"157";40;18;1;1271.175907;114
"158";45;18;4;1201.023956;114
"159";45;18;5;1174.245038;114
"160";29;18;2;914.8884326;113
"161";30;18;8;902.4804928;113
"162";24;18;6;902.1081451;112
"163";25;18;8;847.8959617;112
"164";46;18;0;1244.013689;112
"165";46;18;5;1109.634497;112
"166";30;18;1;886.4832307;111
"167";46;18;6;1204.468172;111
"168";49;18;3;820.4380561;110
"169";24;18;5;867.2635181;109
"170";30;18;7;1061.166324;109
"171";46;18;4;1106.061602;109
"172";26;18;8;946.3107461;108
"173";31;18;8;956.3367556;108
"174";48;18;1;1000.410678;108
"175";24;18;8;717.5167693;107
"176";43;18;9;1006.338125;107
"177";55;18;1;886.1081451;107
"178";40;18;9;980.6926762;106
"179";41;18;9;965.24846;106
"180";44;18;8;1218.795346;106
"181";48;18;4;920.1396304;106
"182";25;18;1;669.4209446;105
"183";25;18;2;760.2874743;105
"184";28;18;1;814.5078713;105
"185";47;18;6;1068.914442;105
"186";28;18;2;954.6885695;104
"187";35;18;8;1139.55373;104
"188";47;18;3;1030.882957;104
"189";29;18;0;833.2320329;103
"190";33;18;8;982.7186858;103
"191";44;18;9;1028.388775;103
"192";47;18;2;1079.318275;103
"193";28;18;8;980.6817248;102
"194";24;18;4;797.3059548;101
"195";33;18;0;988.8131417;101
"196";57;18;3;865.3908282;100
"197";24;18;7;824.6160164;99
"198";27;18;2;880.9774127;99
"199";47;18;8;934.3162218;99
"200";30;18;0;873.8699521;98
"201";32;18;8;941.2265572;98
"202";37;18;9;896.3832991;98
"203";39;18;8;1145.623546;98
"204";42;18;9;1031.104723;98
"205";47;18;0;1143.542779;98
"206";47;18;4;997.8370979;98
"207";23;18;8;620.7173169;97
"208";45;18;7;1157.319644;97
"209";54;18;3;792.2436687;97
"210";47;18;9;784.3203285;96
"211";27;18;9;781.026694;95
"212";34;18;9;861.4921287;95
"213";45;18;6;1224.520192;95
"214";47;18;5;1020.429843;95
"215";47;18;7;998.6584531;95
"216";48;18;0;1045.103354;95
"217";36;18;8;1135.069131;94
"218";41;18;8;1149.46475;94
"219";56;18;1;889.2731006;94
"220";30;18;9;753.6591376;93
"221";31;18;0;907.9589322;93
"222";32;18;0;921.284052;93
"223";36;18;9;885.4592745;93
"224";52;18;3;752.7118412;93
"225";28;18;9;818.8939083;92
"226";26;18;1;752.5119781;91
"227";28;18;0;772.0246407;91
"228";45;18;9;950.9048597;91
"229";57;18;0;940.2710472;91
"230";27;18;0;783.4469541;90
"231";25;18;0;700.1889117;89
"232";39;18;9;886.3134839;89
"233";43;18;10;845.3251198;89
"234";49;18;1;876.9336071;89
"235";42;18;10;841.982204;88
"236";46;18;8;1056.788501;88
"237";55;18;4;803.2060233;88
"238";60;18;1;819.9644079;88
"239";24;18;3;719.7481177;87
"240";35;18;9;882.9869952;87
"241";53;18;2;818.6885695;87
"242";54;18;1;829.8124572;87
"243";25;18;9;669.9548255;86
"244";38;18;9;926.7241615;86
"245";54;18;7;757.5742642;86
"246";55;18;0;978.8473648;86
"247";55;18;2;901.0896646;86
"248";55;18;6;856.8542094;86
"249";24;18;9;618.880219;85
"250";29;18;7;1060.19165;85
"251";42;18;11;805.8945927;85
"252";57;18;2;913.889117;85
"253";26;18;0;745.2977413;84
"254";48;18;5;922.7679671;84
"255";26;18;9;753.3798768;83
"256";33;18;9;793.8042437;83
"257";50;18;3;775.0855578;83
"258";55;18;3;789.9247091;83
"259";59;18;0;866.4832307;83
"260";23;18;6;691.0143737;82
"261";48;18;6;944.7145791;82
"262";58;18;2;867.0335387;82
"263";29;18;9;718.7378508;81
"264";31;18;9;742.9158111;81
"265";49;18;2;905.0951403;81
"266";51;18;3;775.4661191;81
"267";56;18;3;882.0095825;81
"268";23;18;7;636.366872;80
"269";24;18;2;621.100616;80
"270";29;18;1;816.3367556;80
"271";38;18;8;1038.921287;80
"272";46;18;9;908.62423;80
"273";49;18;8;737.2457221;80
"274";59;18;5;782.3408624;80
"275";60;18;3;787.4195756;80
"276";45;18;10;786.4558522;79
"277";45;18;11;727.5975359;79
"278";52;18;2;771.301848;79
"279";54;18;2;807.9945243;79
"280";56;18;0;957.4893908;79
"281";27;18;10;603.7289528;78
"282";32;18;9;714.6858316;78
"283";49;18;6;857.9137577;78
"284";50;18;0;846.6940452;78
"285";53;18;7;721.7002053;78
"286";56;18;2;926.110883;78
"287";59;18;2;838.3655031;78
"288";60;18;0;895.3292266;78
"289";21;18;6;427.5017112;77
"290";22;18;6;560.5886379;77
"291";37;18;11;706.2724162;77
"292";52;18;0;811.3511294;77
"293";55;18;5;829.174538;77
"294";22;18;4;469.889117;76
"295";28;18;10;640.4736482;76
"296";40;18;10;735.9726215;76
"297";49;18;0;974.0616016;76
"298";50;18;2;828.9609856;76
"299";50;18;7;733.9657769;76
"300";51;18;2;799.9342916;76
"301";52;18;5;741.6865161;76
"302";61;18;1;761.4264203;76
"303";27;18;1;806.3764545;75
"304";40;18;11;734.6064339;75
"305";48;18;2;943.9069131;75
"306";49;18;4;812.8596851;75
"307";49;18;7;853.2977413;75
"308";50;18;4;745.5742642;75
"309";50;18;5;758.2340862;75
"310";52;18;1;781.21013;75
"311";57;18;5;813.9958932;75
"312";58;18;1;822.4394251;75
"313";58;18;3;808.9774127;75
"314";34;18;10;668.5092402;74
"315";36;18;11;713.2265572;74
"316";48;18;7;872.2491444;74
"317";48;18;9;749.1827515;73
"318";53;18;0;855.0472279;73
"319";53;18;4;694.5708419;73
"320";22;18;5;500.8980151;72
"321";51;18;0;827.4031485;72
"322";55;18;7;818.4695414;72
"323";57;18;4;808.0465435;72
"324";60;18;2;840.2819986;72
"325";22;18;7;525.4948665;71
"326";57;18;1;909.4182067;71
"327";57;18;8;759.5263518;71
"328";58;18;0;888.2819986;71
"329";58;18;4;784.4435318;71
"330";59;18;3;790.3682409;71
"331";24;18;11;485.7166324;70
"332";26;18;10;580.5420945;70
"333";41;18;10;791.2689938;70
"334";47;18;10;670.7761807;70
"335";47;18;11;683.0143737;70
"336";58;18;6;796.476386;70
"337";27;18;11;596.3723477;69
"338";35;18;10;711.7727584;69
"339";50;18;6;770.3463381;69
"340";51;18;1;788.7720739;69
"341";51;18;4;742.5297741;69
"342";52;18;4;743.8001369;69
"343";57;18;6;853.6563997;69
"344";58;18;5;788.9062286;69
"345";58;18;7;728.7474333;69
"346";59;18;1;769.155373;69
"347";59;18;4;770.5297741;69
"348";29;18;10;598.9158111;68
"349";32;18;10;612.7830253;68
"350";33;18;10;619.3429158;68
"351";36;18;10;727.0006845;68
"352";37;18;10;714.1437372;68
"353";39;18;10;767.578371;68
"354";52;18;6;778.9815195;68
"355";56;18;5;811.835729;68
"356";23;18;4;625.6947296;67
"357";24;18;10;472.5201916;67
"358";51;18;7;694.9979466;67
"359";53;18;3;751.3812457;67
"360";25;18;10;525.174538;66
"361";34;19;3;375.5564682;66
"362";44;18;11;718.3436003;66
"363";48;18;8;825.8206708;66
"364";49;18;9;694.9568789;66
"365";22;18;9;391.1676934;65
"366";23;18;10;377.7385352;65
"367";23;18;5;652.0985626;65
"368";30;18;11;569.5085558;65
"369";35;18;12;579.3237509;65
"370";44;18;10;802.6748802;65
"371";46;18;10;703.559206;65
"372";50;18;1;832.991102;65
"373";51;18;9;592.7145791;65
"374";55;18;8;773.8316222;65
"375";56;18;4;729.3607118;65
"376";23;18;9;483.3921971;64
"377";24;18;0;541.3634497;64
"378";26;18;11;553.0212183;64
"379";31;18;11;544.9856263;64
"380";38;18;10;728.0930869;64
"381";43;18;12;684.9089665;64
"382";53;18;1;761.8781656;64
"383";54;18;0;915.945243;64
"384";56;18;7;750.6255989;64
"385";60;18;4;719.8548939;64
"386";24;18;1;566.7953457;63
"387";38;18;11;731.4250513;63
"388";43;18;11;788.2190281;63
"389";50;18;8;662.3901437;63
"390";51;18;5;691.9370294;63
"391";52;18;8;653.7823409;63
"392";61;18;0;765.9739904;63
"393";28;18;12;508.0629706;62
"394";29;18;11;598.8637919;62
"395";32;19;4;336.1259411;62
"396";41;18;11;760.9199179;62
"397";53;18;5;736.7091034;62
"398";54;18;4;691.1019849;62
"399";54;18;5;752.1670089;62
"400";33;19;6;463.9726215;61
"401";36;18;12;604.8240931;61
"402";50;18;9;563.118412;61
"403";53;18;8;710.8090349;61
"404";23;18;3;578.3107461;60
"405";26;18;12;483.7782341;60
"406";41;18;12;687.7645448;60
"407";44;18;12;709.1991786;60
"408";56;18;6;861.5687885;60
"409";60;18;6;766.0260096;60
"410";25;18;12;486.7570157;59
"411";28;18;11;595.2060233;59
"412";44;18;13;596.312115;59
"413";45;18;12;645.3661875;59
"414";47;18;12;552.8569473;59
"415";52;18;7;741.5660507;59
"416";53;18;6;752.2518823;59
"417";32;19;7;351.7399042;58
"418";46;18;12;636.9472964;58
"419";57;18;7;741.0896646;58
"420";21;18;7;368.6762491;57
"421";23;18;2;451.4743326;57
"422";31;18;10;587.5154004;57
"423";39;18;11;703.687885;57
"424";42;18;12;690.715948;57
"425";42;18;13;626.7186858;57
"426";49;18;5;766.8309377;57
"427";57;18;9;622.9952088;57
"428";59;18;6;776.6433949;57
"429";42;19;3;390.2915811;56
"430";49;19;2;439.9288159;56
"431";51;18;6;768.4243669;55
"432";61;18;5;652.1177276;55
"433";22;18;3;373.6673511;54
"434";32;18;11;550.3134839;54
"435";36;19;4;409.6071184;54
"436";40;18;13;558.255989;54
"437";46;18;13;584.8733744;54
"438";48;18;11;600.7720739;54
"439";48;19;3;426.5106092;54
"440";54;18;6;807.742642;54
"441";58;18;8;743.9671458;54
"442";29;18;12;498.5790554;53
"443";34;19;5;427.1019849;53
"444";35;18;11;702.1218344;53
"445";35;19;3;398.7132101;53
"446";35;19;7;453.5879535;53
"447";37;18;12;659.37577;53
"448";39;19;3;426.2888433;53
"449";56;18;10;553.4346338;53
"450";56;18;8;746.7268994;53
"451";61;18;2;734.2888433;53
"452";21;18;4;310.275154;52
"453";21;18;8;369.5934292;52
"454";29;19;3;246.6502396;52
"455";30;18;10;603.6605065;52
"456";30;18;13;393.9219713;52
"457";34;19;8;428.8377823;52
"458";35;19;5;420.6105407;52
"459";40;18;12;627.6276523;52
"460";41;18;13;583.1485284;52
"461";44;19;5;394.2231348;52
"462";46;18;11;710.5790554;52
"463";49;19;0;479.2744695;52
"464";51;18;8;620.1752225;52
"465";52;19;7;408.0876112;52
"466";59;18;7;692.9582478;52
"467";22;18;8;438.8008214;51
"468";27;18;12;514.9212868;51
"469";36;19;5;419.578371;51
"470";37;19;4;417.5058179;51
"471";38;19;6;446.9678303;51
"472";39;18;13;591.8439425;51
"473";48;18;10;597.8042437;51
"474";48;20;5;271.321013;51
"475";58;18;9;568.9801506;51
"476";60;18;7;670.3353867;51
"477";23;18;11;394.2094456;50
"478";32;18;12;462.0041068;50
"479";33;18;13;452.164271;50
"480";34;18;14;339.9726215;50
"481";35;19;8;441.2210815;50
"482";37;19;5;433.853525;50
"483";38;18;13;507.5674196;50
"484";39;19;4;443.8056126;50
"485";41;19;5;408.1806982;50
"486";43;18;13;596.9664613;50
"487";43;19;5;380.807666;50
"488";49;18;10;528.7364819;50
"489";50;19;7;513.9904175;50
"490";51;19;3;436.6214921;50
"491";54;18;8;705.6481862;50
"492";54;18;9;581.7823409;50
"493";57;18;11;504.8925394;50
"494";59;18;10;514.0835044;50
"495";60;18;5;691.0499658;50
"496";25;18;11;524.386037;49
"497";30;19;5;345.9904175;49
"498";33;19;5;412.4599589;49
"499";33;19;7;397.8124572;49
"500";36;19;6;465.4811773;49
"501";39;19;1;386.091718;49
"502";42;19;5;420.7392197;49
"503";52;19;3;423.4250513;49
"504";61;18;6;669.0321697;49
"505";62;18;3;531.8412047;49
"506";30;18;12;490.5900068;48
"507";34;19;4;407.8850103;48
"508";36;18;13;535.4579055;48
"509";43;19;3;366.0287474;48
"510";45;18;13;576.9938398;48
"511";61;18;7;596.5065024;48
"512";21;18;3;307.3785079;47
"513";26;18;13;359.7180014;47
"514";39;19;8;401.1416838;47
"515";40;19;5;384.0520192;47
"516";41;19;6;430.0698152;47
"517";43;19;7;382.9596167;47
"518";47;19;3;399.0116359;47
"519";50;19;3;468.0876112;47
"520";56;18;9;647.0965092;47
"521";59;18;8;712.8377823;47
"522";60;18;8;640.1889117;47
"523";23;18;0;460.7255305;46
"524";32;19;5;373.615332;46
"525";34;19;6;463.1813826;46
"526";38;19;2;394.8391513;46
"527";55;18;10;524.8706366;46
"528";61;18;3;686.4394251;46
"529";61;18;8;579.0663929;46
"530";23;18;1;444.6954141;45
"531";23;18;12;340.0219028;45
"532";24;18;13;371.4907598;45
"533";27;19;7;274.9924709;45
"534";30;19;3;258.1409993;45
"535";36;19;2;372.164271;45
"536";39;18;12;627.7344285;45
"537";50;19;4;468.91718;45
"538";52;18;9;568.3997262;45
"539";53;18;9;583.9835729;45
"540";54;18;10;486.9568789;45
"541";59;18;9;594.8281999;45
"542";30;19;4;320.3997262;44
"543";30;19;8;316.5119781;44
"544";31;18;12;479.0006845;44
"545";33;19;2;338.5735797;44
"546";34;18;12;542.16564;44
"547";36;19;3;417.8069815;44
"548";39;19;5;408.8377823;44
"549";41;19;7;418.7980835;44
"550";50;19;0;477.026694;44
"551";50;19;5;468.6461328;44
"552";62;18;1;538.661191;44
"553";24;18;12;386.9103354;43
"554";28;19;6;278.6283368;43
"555";30;18;14;324.29295;43
"556";30;19;7;318.0944559;43
"557";33;18;12;493.2375086;43
"558";33;19;3;375.6605065;43
"559";35;18;13;503.6933607;43
"560";36;19;8;384.1806982;43
"561";38;19;3;383.3566051;43
"562";39;19;2;383.0773443;43
"563";47;19;0;438.4859685;43
"564";54;19;4;334.8856947;43
"565";60;18;9;538.2450376;43
"566";62;18;5;493.7686516;43
"567";27;19;4;237.3963039;42
"568";32;18;13;397.3086927;42
"569";32;19;3;322.3874059;42
"570";33;19;4;365.83436;42
"571";36;19;1;369.1800137;42
"572";36;19;7;444.4490075;42
"573";38;18;12;627.1978097;42
"574";38;19;7;386.0944559;42
"575";40;19;3;402.3244353;42
"576";40;19;8;394.8856947;42
"577";41;18;14;465.6919918;42
"578";42;19;2;387.0362765;42
"579";45;19;4;349.284052;42
"580";47;19;4;366.0232717;42
"581";48;20;3;275.4715948;42
"582";48;19;6;455.6413415;42
"583";50;18;10;507.37577;42
"584";50;19;2;455.8685832;42
"585";53;19;3;407.4551677;42
"586";53;19;5;406.6365503;42
"587";62;18;2;519.6468172;42
"588";34;19;9;326.8774812;41
"589";35;19;4;435.7891855;41
"590";37;19;2;396.2464066;41
"591";37;19;3;417.4045175;41
"592";37;19;8;409.4209446;41
"593";39;19;0;383.6906229;41
"594";44;19;0;343.1403149;41
"595";44;18;16;387.9780972;41
"596";47;19;6;418.1848049;41
"597";48;19;1;388.1341547;41
"598";48;19;2;417.4893908;41
"599";49;19;6;449.8453114;41
"600";52;19;4;386.4503765;41
"601";53;19;4;398.1793292;41
"602";63;18;3;437.486653;41
"603";30;19;9;254.7570157;40
"604";31;18;13;418.0123203;40
"605";31;19;7;309.9575633;40
"606";34;19;7;428.5338809;40
"607";35;18;14;367.6002738;40
"608";35;19;9;344.5968515;40
"609";36;19;12;260.6324435;40
"610";38;19;4;400.3039014;40
"611";39;19;6;436.7173169;40
"612";39;19;7;410.9404517;40
"613";40;19;6;419.7262149;40
"614";41;19;3;411.1704312;40
"615";42;18;14;475.4934976;40
"616";48;19;4;414.0616016;40
"617";49;18;11;488.2245038;40
"618";49;19;4;411.0691307;40
"619";51;19;0;442.3819302;40
"620";52;19;0;440.5612594;40
"621";52;19;8;390.5434634;40
"622";54;19;2;377.4702259;40
"623";55;19;3;353.2813142;40
"624";55;18;9;647.5811088;40
"625";56;18;12;446.6502396;40
"626";60;18;11;439.7946612;40
"627";61;18;4;650.0150582;40
"628";62;18;0;517.0704997;40
"629";21;18;5;323.0718686;39
"630";28;18;13;429.3141684;39
"631";31;19;5;333.1060917;39
"632";33;18;11;546.4065708;39
"633";34;18;11;619.4360027;39
"634";35;19;0;366.954141;39
"635";38;18;14;423.8329911;39
"636";40;19;2;387.247091;39
"637";41;19;4;391.1266256;39
"638";46;19;6;383.0746064;39
"639";48;19;5;430.4202601;39
"640";49;19;3;446.9650924;39
"641";52;19;1;416.4161533;39
"642";53;19;6;410.8610541;39
"643";55;19;6;358.934976;39
"644";58;18;11;494.8336756;39
"645";63;18;5;399.1348392;39
"646";21;18;9;280.5147159;38
"647";22;18;0;339.0006845;38
"648";22;18;11;312.5229295;38
"649";22;18;13;225.1088296;38
"650";26;18;14;294.4640657;38
"651";26;19;6;265.155373;38
"652";27;18;13;445.0677618;38
"653";30;19;6;364.2354552;38
"654";31;19;3;289.0841889;38
"655";37;19;6;430.880219;38
"656";37;19;7;432.7200548;38
"657";37;19;9;354.0889802;38
"658";43;19;2;349.5550992;38
"659";44;19;7;369.119781;38
"660";46;18;16;342.4832307;38
"661";46;19;5;392.5037645;38
"662";47;19;5;423.2799452;38
"663";48;18;13;471.8767967;38
"664";51;19;1;427.0937714;38
"665";51;19;9;352.4380561;38
"666";53;18;11;499.2087611;38
"667";55;18;11;550.8939083;38
"668";64;18;6;407.0006845;38
"669";65;18;0;397.1252567;38
"670";26;19;8;247.028063;37
"671";31;19;4;298.1327858;37
"672";34;19;2;360.8405202;37
"673";35;19;6;440.1505818;37
"674";36;18;14;394.4312115;37
"675";44;19;3;377.1991786;37
"676";46;19;3;352.9308693;37
"677";47;18;13;496.7227926;37
"678";50;19;6;467.3264887;37
"679";51;19;5;401.9739904;37
"680";52;18;10;473.8590007;37
"681";52;18;12;409.174538;37
"682";53;18;10;494.7843943;37
"683";55;19;0;374.4394251;37
"684";57;19;6;384.0574949;37
"685";22;18;2;331.3648186;36
"686";24;18;14;238.2970568;36
"687";24;18;15;203.4907598;36
"688";28;19;5;265.0841889;36
"689";31;19;6;355.5509925;36
"690";31;19;9;253.9520876;36
"691";33;19;9;334.7789185;36
"692";37;19;1;364.2299795;36
"693";37;18;14;409.4264203;36
"694";38;19;1;374.4421629;36
"695";38;19;5;418.7077344;36
"696";38;19;8;399.0609172;36
"697";39;18;15;370.1738535;36
"698";40;18;14;469.6536619;36
"699";40;19;7;425.6071184;36
"700";41;19;1;344.4188912;36
"701";42;19;1;339.4442163;36
"702";45;19;8;376.2683094;36
"703";47;19;7;400.3887748;36
"704";49;19;1;453.6098563;36
"705";49;19;7;394.9158111;36
"706";50;18;11;473.6919918;36
"707";51;18;13;359.4798084;36
"708";52;19;10;273.6016427;36
"709";53;19;1;412.7419576;36
"710";54;18;12;398.9787817;36
"711";56;19;6;388.2436687;36
"712";56;19;8;309.0349076;36
"713";57;18;10;547.6741958;36
"714";58;19;0;383.7864476;36
"715";58;18;10;496.0328542;36
"716";58;19;4;342.3737166;36
"717";59;18;11;490.9322382;36
"718";21;18;1;223.8056126;35
"719";21;18;10;232.0164271;35
"720";22;18;12;254.954141;35
"721";25;18;13;372.2655715;35
"722";26;19;4;218.9404517;35
"723";28;19;9;213.908282;35
"724";29;18;13;419.687885;35
"725";29;19;4;261.5715264;35
"726";34;19;1;352.4626968;35
"727";34;18;13;467.9917864;35
"728";35;19;2;338.146475;35
"729";40;19;4;399.3319644;35
"730";45;19;2;341.7905544;35
"731";45;19;5;332.8186174;35
"732";46;19;7;377.889117;35
"733";47;19;8;397.2867899;35
"734";49;18;13;389.4346338;35
"735";49;19;5;436.495551;35
"736";51;19;6;410.9842574;35
"737";52;18;11;424.2436687;35
"738";53;18;13;394.7652293;35
"739";55;19;7;336.1889117;35
"740";25;19;5;209.6974675;34
"741";27;18;14;332.0410678;34
"742";28;19;8;268.0328542;34
"743";29;19;7;291.1430527;34
"744";31;18;15;244.3312799;34
"745";32;19;8;306.7926078;34
"746";35;19;1;331.1813826;34
"747";37;19;10;281.8644764;34
"748";37;18;13;557.2594114;34
"749";41;19;2;362.8829569;34
"750";42;19;6;426.9185489;34
"751";43;18;15;400.1478439;34
"752";43;19;9;301.0075291;34
"753";45;18;14;447.9753593;34
"754";50;18;13;385.8672142;34
"755";51;19;4;411.0965092;34
"756";51;19;7;444.0876112;34
"757";52;19;5;371.247091;34
"758";52;19;9;309.927447;34
"759";53;19;8;375.4770705;34
"760";55;19;1;322.1629021;34
"761";56;18;11;516.9609856;34
"762";59;19;1;326.8583162;34
"763";62;18;6;493.2073922;34
"764";62;18;8;386.5708419;34
"765";63;18;6;400.5393566;34
"766";64;18;5;388.7036277;34
"767";65;18;5;369.4209446;34
"768";22;18;1;316.2354552;33
"769";23;18;13;272.6872005;33
"770";25;19;7;210.7214237;33
"771";27;19;9;209.4893908;33
"772";37;19;11;302.3764545;33
"773";38;19;9;350.0698152;33
"774";41;18;15;419.4332649;33
"775";41;20;2;197.5660507;33
"776";42;18;16;357.2375086;33
"777";42;19;7;400.3778234;33
"778";43;19;8;362.4640657;33
"779";44;18;15;420.1998631;33
"780";44;19;6;375.5728953;33
"781";45;19;1;318.5434634;33
"782";46;19;0;360.5941136;33
"783";46;18;15;361.4921287;33
"784";47;19;9;339.4250513;33
"785";48;19;0;467.761807;33
"786";49;20;5;251.2388775;33
"787";49;19;9;370.954141;33
"788";51;20;0;270.2778919;33
"789";51;19;2;439.4661191;33
"790";53;19;2;414.1163587;33
"791";54;19;0;393.2128679;33
"792";55;18;12;481.5715264;33
"793";55;19;2;344.91718;33
"794";57;19;2;389.7631759;33
"795";57;19;5;365.6892539;33
"796";63;18;4;374.0698152;33
"797";64;18;2;407.0061602;33
"798";20;18;9;130.9404517;32
"799";25;19;6;252.0136893;32
"800";25;19;8;221.431896;32
"801";27;19;5;218.5790554;32
"802";28;18;14;307.5537303;32
"803";31;19;1;223.890486;32
"804";32;19;1;268.4818617;32
"805";34;20;7;236.238193;32
"806";35;19;10;280.2436687;32
"807";36;20;6;258.4476386;32
"808";38;19;0;385.2265572;32
"809";38;19;11;267.266256;32
"810";39;19;9;323.6796715;32
"811";41;19;8;374.4339493;32
"812";43;19;6;382.7351129;32
"813";44;19;8;370.4229979;32
"814";46;19;8;350.2450376;32
"815";48;18;12;521.5770021;32
"816";48;19;7;424.4791239;32
"817";50;19;1;472.5366188;32
"818";51;18;10;492.6269678;32
"819";52;19;2;409.615332;32
"820";54;19;6;364.5338809;32
"821";55;19;5;346.7734428;32
"822";56;18;13;403.5181383;32
"823";56;19;5;323.7344285;32
