"rr";"rr2";"age";"age2";"tenure";"slack";"abol";"seasonal";"head";"married";"dkids";"dykids";"smsa";"nwhite";"yridspl";"school12";"male";"statemb";"stateur";"y"
0,5;0,25;33;108,9;3;0;0;0;0;0;0;0;1;0;4;1;1;198;6;1
0,489899;0,240001;29;84,1;6;1;0;0;1;1;0;0;1;0;10;0;1;206;7,1;1
0,5252101;0,2758456;44;193,6;1;0;0;0;1;1;0;0;1;0;9;0;1;275;7,5;1
0,3051823;0,0931363;61;372,1;25;0;0;0;1;1;0;0;1;0;6;0;1;168;7,4;1
0,4981949;0,2481982;44;193,6;7;1;0;0;1;0;0;0;1;1;10;1;1;225;7,3;1
0,5192308;0,2696006;24;57,6;2;1;0;0;0;0;0;0;0;1;1;1;1;115;8,9;1
0,390411;0,1524207;60;360;4;0;0;0;1;0;0;0;0;0;7;0;0;145;5,8;1
0,5015197;0,251522;41;168,1;18;0;0;0;1;1;1;1;0;0;9;1;1;255;4,8;0
0,566787;0,3212475;52;270,4;17;0;0;1;1;1;0;0;0;0;10;0;1;199;7,4;1
0,2010243;0,0404108;30;90;4;1;0;0;1;1;1;1;0;0;8;0;1;181;7,9;0
0,4951456;0,2451692;36;129,6;1;0;0;1;1;1;0;0;1;0;9;0;1;188;6,9;1
0,5309734;0,2819328;27;72,9;6;0;0;0;0;1;0;0;1;0;4;0;0;120;6,4;0
0,5;0,25;33;108,9;8;1;0;0;0;1;1;1;0;0;2;0;0;159;9,8;0
0,4983051;0,248308;56;313,6;25;0;0;0;1;1;0;0;1;0;5;0;1;192;3,8;1
0,4984026;0,2484051;31;96,1;2;1;0;0;1;0;0;0;1;0;9;0;1;245;5,2;0
0,5207373;0,2711674;51;260,1;13;0;0;0;0;0;0;0;0;0;8;0;0;225;8,6;1
0,3846154;0,147929;26;67,6;4;1;0;0;1;1;1;1;0;0;4;0;1;125;6,5;1
0,3809524;0,1451247;51;260,1;13;1;0;0;1;1;0;0;1;0;7;0;1;229;7,6;1
0,5;0,25;51;260,1;4;1;0;0;1;1;1;1;1;0;4;0;1;167;5,4;1
0,4783715;0,2288393;35;122,5;6;0;0;0;1;0;0;0;0;0;5;0;1;192;9;1
0,395;0,156025;20;40;1;0;0;0;0;0;0;0;1;0;4;0;0;166;7,2;0
0,3046757;0,0928273;31;96,1;5;0;0;0;1;1;1;1;1;0;6;0;1;213;7,7;0
0,4044944;0,1636157;22;48,4;2;1;0;0;1;0;0;0;1;0;10;1;1;182;6,4;1
0,3210332;0,1030623;26;67,6;2;0;0;0;1;1;1;1;1;0;8;0;1;200;5,6;0
0,3647295;0,1330276;40;160;5;0;0;0;0;1;0;0;1;0;8;0;0;210;6,7;1
0,5165563;0,2668304;54;291,6;2;0;0;0;0;1;1;0;0;0;1;0;0;194;14,4;1
0,5203488;0,2707629;20;40;1;0;0;0;0;0;1;0;0;0;5;0;1;192;9;0
0,4186046;0,1752298;49;240,1;1;0;1;0;1;1;0;0;1;0;3;0;1;115;8,6;0
0,4976959;0,2477012;30;90;2;1;0;0;0;0;0;0;1;0;8;0;1;200;5,6;1
0,5012658;0,2512674;35;122,5;3;0;0;0;1;1;1;1;1;0;10;0;1;260;7,2;0
0,5;0,25;23;52,9;2;1;0;0;1;1;1;0;0;0;1;1;1;136;10;0
0,3943396;0,1555037;61;372,1;1;1;0;0;1;1;0;0;1;0;5;0;1;213;7,4;1
0,5022026;0,2522075;22;48,4;2;0;0;0;1;0;0;0;1;0;7;0;1;200;5;0
0,3565022;0,1270938;41;168,1;7;0;1;0;1;1;1;0;0;0;1;0;1;143;8,8;1
0,2795699;0,0781593;31;96,1;1;1;0;0;1;1;0;0;0;0;1;0;1;140;12,9;1
0,5;0,25;26;67,6;1;1;0;0;0;0;0;0;1;0;5;0;1;147;8,1;1
0,2989418;0,0893662;31;96,1;1;1;0;0;1;1;1;1;0;0;2;0;1;105;9,9;1
0,48;0,2304;32;102,4;2;0;0;1;1;1;1;0;1;0;4;0;1;161;9;0
0,3820663;0,1459746;30;90;11;1;0;0;1;1;1;0;0;0;1;0;1;176;4,6;0
0,6007605;0,3609131;21;44,1;1;0;0;0;0;0;1;0;1;0;9;0;0;279;5;0
0,5212121;0,2716621;26;67,6;1;0;1;0;0;1;1;1;0;0;9;0;0;217;6,2;1
0,502994;0,253003;34;115,6;1;1;0;0;1;0;1;0;0;0;1;0;0;152;9,7;1
0,4574899;0,209297;52;270,4;25;0;0;0;0;1;0;0;1;0;9;0;0;275;7,5;0
0,4683908;0,2193899;33;108,9;14;0;0;0;0;1;1;0;0;0;10;0;0;206;7,1;1
0,5;0,25;31;96,1;3;0;0;0;0;0;0;0;1;0;8;0;1;205;3,5;0
0,5035461;0,2535587;22;48,4;2;1;0;0;0;0;0;0;1;1;6;0;1;147;7;1
0,5;0,25;37;136,9;3;1;0;0;0;1;1;0;0;0;2;0;0;146;6,9;1
0,5018182;0,2518215;30;90;1;0;0;0;1;0;0;0;1;0;4;0;1;180;4,9;1
0,5208333;0,2712674;50;250;7;1;0;0;1;0;0;0;1;0;2;1;1;211;18;1
0,2706667;0,0732604;25;62,5;5;1;0;0;0;1;1;1;1;0;8;0;1;234;3,7;1
0,5192308;0,2696006;21;44,1;3;1;0;0;1;1;1;1;1;0;8;0;1;266;4,5;1
0,5631579;0,3171468;42;176,4;1;0;0;0;0;0;1;0;0;1;1;0;1;106;5,7;1
0,519573;0,2699561;56;313,6;1;1;0;0;1;1;1;0;1;0;2;0;1;205;11,8;0
0,5197569;0,2701472;37;136,9;1;0;0;0;1;1;1;1;1;0;9;0;1;237;4,9;1
0,4537815;0,2059177;27;72,9;7;0;0;0;0;0;0;0;0;0;1;0;1;145;9,1;1
0,5;0,25;37;136,9;5;0;0;0;1;0;1;1;1;0;9;0;0;245;5,2;1
0,3685504;0,1358294;36;129,6;2;1;0;0;1;1;1;1;0;0;6;0;1;158;8,9;1
0,3001808;0,0901085;27;72,9;2;1;0;0;1;0;1;1;0;0;10;1;1;210;7,5;0
0,5411765;0,292872;39;152,1;1;0;1;0;1;1;1;1;0;0;6;1;1;126;4,9;0
0,4788733;0,2293196;23;52,9;3;1;0;0;0;0;0;0;1;1;6;1;1;168;7,4;1
0,5;0,25;47;220,9;17;1;0;0;1;1;1;0;1;0;8;0;1;180;5,1;1
0,4490741;0,2016675;28;78,4;1;0;0;1;1;1;0;0;0;0;2;1;1;180;8,4;0
0,4888889;0,2390123;38;144,4;3;1;0;0;1;1;1;0;1;0;9;0;1;190;5,8;1
0,3948127;0,1558771;51;260,1;1;1;0;0;1;1;0;0;1;0;8;1;1;166;5,1;1
0,6518987;0,424972;51;260,1;2;1;0;0;1;0;0;0;1;0;10;0;1;247;6;0
0,4444444;0,1975309;36;129,6;6;0;0;0;1;0;0;0;1;0;2;0;1;178;11,2;0
0,2214076;0,0490213;44;193,6;6;0;0;0;1;0;0;0;1;0;7;0;0;166;5,3;1
0,5630027;0,316972;25;62,5;3;0;0;0;1;1;1;1;1;0;5;0;1;214;5;1
0,4507463;0,2031722;44;193,6;3;1;0;0;0;1;0;0;0;0;1;0;0;135;6,3;1
0,3935018;0,1548437;38;144,4;6;0;0;0;1;1;0;0;1;0;10;0;1;210;7,5;1
0,4905063;0,2405965;30;90;3;1;0;0;0;0;0;0;1;0;10;0;1;206;7,1;1
0,5;0,25;45;202,5;3;0;0;1;1;1;0;0;0;0;6;0;1;154;3,6;1
0,4897119;0,2398178;35;122,5;11;0;1;0;1;1;1;0;1;0;8;0;1;187;6;1
0,275076;0,0756668;45;202,5;3;0;0;0;1;1;0;0;0;0;10;0;1;229;5;0
0,5;0,25;26;67,6;1;0;1;0;0;0;0;0;1;1;9;1;0;200;5,9;0
0,5;0,25;22;48,4;2;1;0;0;0;0;0;0;1;1;10;0;1;225;7,3;1
0,4377778;0,1916494;36;129,6;17;0;0;0;1;1;1;0;0;0;4;0;1;197;9,9;1
0,3955224;0,156438;24;57,6;2;0;0;0;0;0;0;0;1;0;10;0;1;210;7,5;1
0,5;0,25;35;122,5;1;1;0;0;1;1;1;0;0;0;4;0;1;146;4,8;1
0,1353712;0,0183254;40;160;6;1;0;0;1;1;1;1;1;0;5;1;1;189;8,9;1
0,3683127;0,1356543;27;72,9;5;1;0;0;0;0;0;0;1;0;2;1;1;166;9,7;1
0,522388;0,2728893;21;44,1;1;1;0;0;0;0;1;0;1;0;10;0;1;224;6,6;0
0,4983923;0,2483949;22;48,4;5;0;0;0;0;0;0;0;1;1;3;0;1;150;6,3;0
0,5253165;0,2759574;23;52,9;4;1;0;0;1;0;1;1;0;0;10;0;1;276;9,2;1
0,4048583;0,1639102;21;44,1;2;1;0;0;1;1;0;0;0;0;9;0;1;160;5,2;1
0,4155496;0,1726815;44;193,6;10;0;1;0;1;1;0;0;1;0;3;0;1;150;6,3;0
0,5;0,25;21;44,1;2;1;0;0;0;0;0;0;1;0;8;0;1;255;4;1
0,1779425;0,0316635;45;202,5;2;1;0;0;0;0;0;0;1;0;2;1;1;178;11,2;1
0,5172414;0,2675386;41;168,1;3;1;0;0;1;1;1;0;1;0;8;0;1;210;6,7;0
0,5;0,25;34;115,6;11;1;0;0;0;0;0;0;1;0;3;0;1;170;7,2;0
0,378;0,142884;48;230,4;20;0;1;0;1;0;0;0;1;0;4;0;1;189;7;1
0,4711779;0,2220086;60;360;27;1;0;0;1;1;0;0;0;0;3;1;1;182;5,9;0
0,5386417;0,2901349;25;62,5;4;0;0;0;1;1;1;1;1;0;10;0;1;291;6,6;1
0,5222222;0,272716;37;136,9;2;1;0;0;0;1;1;0;1;0;6;0;0;203;8,4;1
0,3746702;0,1403777;44;193,6;2;0;0;0;1;1;0;0;0;0;6;0;1;150;2,5;0
0,5012225;0,251224;31;96,1;3;0;0;0;1;1;1;1;0;0;7;0;1;225;9,9;1
0,3932584;0,1546522;44;193,6;3;1;0;0;1;0;1;1;1;0;10;1;0;210;7,5;1
0,245;0,060025;34;115,6;12;0;0;0;1;1;1;0;1;1;4;1;1;147;8,9;1
0,4048443;0,1638989;25;62,5;1;0;1;0;0;0;0;0;1;0;1;1;0;105;10,2;1
0,283906;0,0806026;38;144,4;13;1;0;0;1;1;1;0;0;0;10;0;1;199;7,4;1
0,52;0,2704;51;260,1;13;1;0;0;1;1;1;0;1;0;6;0;1;203;8,4;1
0,4143763;0,1717077;40;160;15;0;0;0;1;1;1;0;0;0;7;0;1;216;3;1
0,5994236;0,3593087;59;348,1;1;0;0;0;0;1;1;0;1;0;8;0;1;258;4,1;1
0,5238096;0,2743765;61;372,1;39;1;0;0;0;1;0;0;0;0;10;0;0;276;9,2;1
0,4302671;0,1851297;40;160;9;0;0;0;1;1;1;0;1;0;3;0;1;140;9,3;0
0,1842105;0,0339335;26;67,6;1;1;0;0;1;1;1;1;1;0;1;0;1;138;7,2;1
0,6;0,36;40;160;1;0;0;0;1;0;1;0;1;0;4;0;1;203;5,7;0
0,4089069;0,1672048;28;78,4;1;1;0;0;1;1;0;0;1;0;9;0;1;245;5,2;1
0,2338028;0,0546638;25;62,5;3;0;1;0;1;1;1;1;1;0;6;1;1;175;5,3;0
0,4394619;0,1931268;54;291,6;7;1;0;0;1;1;1;0;0;0;1;0;1;176;8,5;0
0,3185053;0,1014457;35;122,5;12;1;0;0;1;1;1;0;1;0;2;0;1;166;8,9;1
0,5193236;0,269697;52;270,4;17;1;0;0;1;1;1;0;1;0;3;1;1;214;9,1;1
0,4532374;0,2054242;37;136,9;3;0;0;0;1;1;1;1;0;0;5;1;1;193;6;1
0,4817814;0,2321133;30;90;2;0;0;0;1;1;1;1;0;0;9;0;1;145;7,5;0
0,4587459;0,2104478;31;96,1;2;1;0;0;1;1;0;0;1;0;6;0;1;147;7;1
0,3754579;0,1409686;34;115,6;1;0;0;0;1;1;1;0;1;0;7;0;1;225;9,9;0
0,5022421;0,2522472;24;57,6;1;1;0;0;0;0;0;0;1;0;1;0;1;156;9;1
0,5;0,25;32;102,4;1;0;0;1;0;1;1;1;1;0;10;0;1;282;9;1
0,4589666;0,2106503;51;260,1;13;0;0;0;1;1;0;0;0;0;9;1;1;184;5,7;1
0,502994;0,253003;26;67,6;2;1;0;0;1;1;1;1;1;0;1;0;1;147;12,3;0
0,5;0,25;25;62,5;1;1;0;0;1;1;1;1;0;0;2;0;1;129;10;0
0,4666667;0,2177778;39;152,1;15;0;0;0;0;1;1;0;0;0;7;0;0;216;3;1
0,5;0,25;33;108,9;1;1;0;0;0;0;0;0;1;0;10;1;0;260;7,2;1
0,5255474;0,2762001;40;160;4;1;0;0;1;1;1;0;0;0;10;1;1;276;9,2;1
0,4868106;0,2369845;30;90;6;0;0;0;1;1;0;0;1;0;8;0;1;234;3,7;1
0,4981818;0,2481851;22;48,4;6;1;0;0;1;1;1;1;1;0;5;0;1;189;8,7;1
0,3338954;0,1114862;35;122,5;9;0;0;0;1;1;1;0;0;0;10;0;1;251;10,5;1
0,4193548;0,1758585;55;302,5;8;1;0;0;1;1;0;0;0;0;8;0;1;210;4;1
0,5202703;0,2706812;40;160;3;1;0;0;1;1;1;0;1;0;10;0;1;224;6,6;0
0,5;0,25;32;102,4;5;0;0;0;1;0;0;0;0;0;5;0;1;179;8,7;1
0,5190616;0,2694249;20;40;1;0;1;0;1;0;0;0;1;0;7;0;1;210;7,3;1
0,4159836;0,1730424;29;84,1;5;1;0;0;1;1;1;1;1;0;8;0;1;234;3,7;1
0,502439;0,252445;42;176,4;1;0;1;0;1;1;1;1;0;0;10;1;1;260;5,1;1
0,5794872;0,3358054;22;48,4;2;1;0;0;0;0;0;0;1;0;8;0;1;169;3,7;1
0,5377358;0,2891598;43;184,9;4;0;1;0;1;0;1;0;1;1;6;0;0;120;7,8;0
0,5192308;0,2696006;42;176,4;10;1;0;0;0;0;0;0;1;1;1;0;0;138;7,2;1
0,5212355;0,2716865;27;72,9;11;0;0;0;1;1;1;1;1;0;3;0;1;214;9,1;1
0,4979757;0,2479798;30;90;2;1;0;0;1;1;1;0;0;1;9;1;1;184;5,7;1
0,3265007;0,1066027;42;176,4;6;1;0;0;1;1;1;0;1;0;10;1;1;282;9;1
0,4976959;0,2477012;46;211,6;7;0;0;0;1;1;1;0;1;0;8;0;1;234;3,7;1
0,5209125;0,2713498;50;250;2;1;0;0;1;1;0;0;0;0;7;0;1;252;5,2;1
0,5222222;0,272716;22;48,4;1;1;0;0;0;1;1;1;0;1;4;0;0;205;11,5;0
0,4020979;0,1616827;50;250;10;0;0;0;1;1;0;0;1;0;8;0;1;183;4,3;1
0,4460432;0,1989545;35;122,5;2;1;0;0;1;1;1;0;1;0;8;0;1;214;5,8;1
0,3314815;0,10988;45;202,5;20;0;0;0;0;0;0;0;0;0;2;1;1;166;9,7;1
0,4983923;0,2483949;59;348,1;3;0;0;0;1;0;0;0;1;1;3;0;0;170;7,2;1
0,5;0,25;22;48,4;4;0;1;0;1;0;0;0;1;0;3;0;1;147;9,4;0
0,4478022;0,2005268;60;360;26;1;0;0;1;1;0;0;0;0;10;0;1;206;7,1;1
0,3933333;0,1547111;26;67,6;9;0;0;0;0;0;1;0;1;0;4;0;1;166;7,2;1
0,5;0,25;43;184,9;9;0;0;0;0;1;1;0;1;0;4;0;0;185;5,9;1
0,3950276;0,1560468;44;193,6;5;1;0;0;0;1;1;0;1;1;3;1;1;166;7,8;1
0,5;0,25;41;168,1;1;1;0;0;1;1;1;0;1;1;10;0;1;225;7,3;1
0,4954955;0,2455158;47;220,9;1;1;0;0;1;0;0;0;1;1;10;0;0;260;7,2;1
0,5;0,25;23;52,9;1;0;0;0;1;0;1;1;0;1;4;0;1;167;5,4;0
0,5;0,25;22;48,4;2;1;0;0;0;1;1;1;0;0;3;0;0;196;7,3;1
0,5172414;0,2675386;37;136,9;1;1;0;0;1;0;0;0;1;0;8;0;1;197;5,6;0
0,4976959;0,2477012;31;96,1;1;0;0;0;1;1;0;0;0;0;8;1;1;228;3,5;0
0,5238096;0,2743765;24;57,6;5;0;0;0;0;0;0;0;1;0;6;0;0;197;8,2;1
0,5;0,25;48;230,4;5;1;0;0;1;1;0;0;1;1;10;0;1;177;6,9;0
0,5505618;0,3031183;21;44,1;2;1;0;0;0;0;1;0;1;0;1;0;1;143;8,8;0
0,52;0,2704;32;102,4;10;1;0;0;0;0;0;0;1;0;4;0;0;205;11,5;1
0,4222222;0,1782716;26;67,6;1;1;0;0;0;0;0;0;1;0;5;0;1;232;6,8;1
0,4532374;0,2054242;38;144,4;1;0;0;0;1;1;1;0;1;0;8;0;1;145;5,2;0
0,501529;0,2515314;28;78,4;7;1;0;0;1;1;1;1;1;0;7;0;1;204;3,6;0
0,4296117;0,1845662;41;168,1;3;0;0;0;0;1;1;0;0;0;5;0;0;180;6,3;1
0,3114504;0,0970013;60;360;17;0;0;0;1;0;0;0;1;0;1;0;0;183;12,4;1
0,4587459;0,2104478;41;168,1;9;0;0;0;1;1;1;0;1;0;6;0;1;147;7;1
0,2990099;0,0894069;45;202,5;15;0;0;0;1;1;1;0;1;0;7;0;1;166;5,3;1
0,465587;0,2167713;31;96,1;4;0;0;0;0;1;1;1;1;0;9;0;0;279;5;1
0,437751;0,1916259;27;72,9;6;0;0;0;0;0;0;0;1;1;3;0;1;105;10,8;1
0,2820513;0,0795529;43;184,9;1;0;0;1;1;1;0;0;1;0;6;1;1;197;8,2;1
0,4945055;0,2445357;60;360;1;1;0;0;1;1;0;0;1;0;7;0;1;188;9,3;1
0,552;0,304704;27;72,9;1;0;0;0;0;1;1;1;0;0;4;0;0;175;5;0
0,5179487;0,2682709;24;57,6;1;1;0;0;0;0;1;1;1;1;1;0;0;147;7,7;1
0,3664122;0,1342579;61;372,1;22;0;0;0;1;1;0;0;0;0;5;0;1;147;8,1;1
0,5;0,25;35;122,5;8;0;0;0;1;0;0;0;0;0;7;0;0;180;4,2;0
0,5115741;0,2617081;26;67,6;2;1;0;0;1;1;1;1;1;0;2;0;1;205;11,8;1
0,3783784;0,1431702;29;84,1;2;1;0;0;1;1;1;0;1;0;8;0;1;145;5,2;1
0,5220588;0,2725454;30;90;1;0;0;0;0;0;0;0;0;0;7;0;0;252;5,2;1
0,5;0,25;49;240,1;16;0;0;0;1;0;0;0;0;1;5;0;0;175;5,3;1
0,3948052;0,1558711;38;144,4;18;0;0;0;1;1;1;1;1;0;9;1;1;190;5,6;1
0,5747126;0,3302946;32;102,4;2;1;0;0;1;0;0;0;1;0;8;0;0;169;3,7;1
0,2992958;0,089578;25;62,5;1;0;0;1;0;0;0;0;1;0;6;1;1;180;4,9;0
0,5063291;0,2563692;34;115,6;2;0;1;0;0;1;1;0;1;0;10;0;0;225;7,3;0
0,5210356;0,2714781;36;129,6;8;0;0;0;1;1;1;0;1;0;9;0;1;280;5,4;0
0,5;0,25;25;62,5;2;1;0;0;0;0;0;0;1;0;10;0;0;282;9;1
0,5045045;0,2545248;27;72,9;1;1;0;0;0;0;0;0;1;1;2;1;1;168;11,4;1
0,4725;0,2232562;40;160;2;0;0;0;1;1;1;0;0;0;4;0;1;189;7;0
0,5;0,25;42;176,4;9;1;0;0;0;1;1;0;1;0;4;0;0;150;6,8;1
0,4296029;0,1845586;32;102,4;1;1;0;0;1;1;1;0;1;0;10;0;1;150;7,2;0
0,3849287;0,1481701;23;52,9;4;1;0;0;1;1;0;0;1;0;5;0;1;193;6;1
0,5;0,25;26;67,6;2;1;0;0;1;1;0;0;1;0;10;0;1;225;7,3;1
0,2162447;0,0467618;43;184,9;1;1;0;0;1;1;0;0;1;0;10;1;1;260;7,2;1
0,3678161;0,1352887;35;122,5;1;1;0;0;0;1;1;1;1;0;10;0;1;202;5,5;1
0,5208333;0,2712674;41;168,1;8;0;0;0;0;1;1;0;0;1;7;0;0;155;5,8;1
0,5016502;0,2516529;44;193,6;8;0;0;0;0;1;0;0;0;0;1;0;0;136;9,2;1
0,5;0,25;27;72,9;2;0;1;0;0;1;1;0;0;0;4;0;0;146;4,8;1
0,5258359;0,2765034;28;78,4;1;1;0;0;0;0;0;0;1;0;9;1;1;275;7,5;0
0,5;0,25;43;184,9;4;1;0;0;0;1;0;0;1;0;2;0;0;125;5,4;1
0,5282052;0,2790007;22;48,4;2;0;0;0;0;0;0;0;1;0;8;0;1;263;7,1;1
0,5207547;0,2711855;26;67,6;2;1;0;0;0;0;0;0;1;0;6;0;1;241;5,7;1
0,4676617;0,2187074;25;62,5;2;0;0;1;0;0;1;1;1;0;1;0;1;84;11,6;1
0,5211267;0,2715731;56;313,6;38;0;0;0;1;1;0;0;0;0;6;1;1;225;10,8;1
0,25;0,0625;38;144,4;11;0;0;0;1;1;1;0;0;0;1;0;1;95;9,2;1
0,3591837;0,1290129;27;72,9;2;0;0;0;0;0;0;0;1;0;5;0;0;90;6,7;0
0,3317972;0,1100894;31;96,1;2;0;0;1;0;0;0;0;1;0;8;0;1;166;5,1;0
0,1696552;0,0287829;55;302,5;14;0;0;0;1;1;0;0;0;0;1;0;1;110;11,9;1
0,2834008;0,080316;27;72,9;4;0;0;1;0;0;0;0;1;1;9;0;1;255;4,8;0
0,3338954;0,1114862;47;220,9;27;1;0;0;0;0;0;0;1;0;10;0;1;251;10,5;1
0,4611765;0,2126838;54;291,6;6;0;0;0;1;1;0;0;1;0;4;0;1;196;3,9;1
0,2608696;0,0680529;29;84,1;3;0;0;0;0;0;0;0;0;0;3;1;0;156;10;1
0,4230769;0,1789941;25;62,5;2;1;0;0;0;1;1;1;0;0;1;0;0;148;11,7;1
0,5245283;0,27513;32;102,4;3;1;0;0;1;1;1;0;1;0;6;0;1;197;8,2;1
0,6007605;0,3609131;38;144,4;3;1;0;0;1;0;0;0;1;0;9;0;1;279;5;1
0,5;0,25;29;84,1;1;1;0;0;0;0;1;0;1;1;2;0;0;118;5,4;1
0,5211267;0,2715731;23;52,9;4;1;0;0;0;0;0;0;1;0;10;0;0;291;6,9;1
0,5;0,25;57;324,9;2;0;0;0;1;0;0;0;1;0;6;0;0;220;3,2;1
0,519573;0,2699561;22;48,4;3;0;0;0;0;0;0;0;0;0;2;0;1;138;6,1;0
